"class.index" "n.dist" "Mantel.cor" "Pr.Mantel." "Pr.corrected." "property" "sig"
"D.cl.1" 0.0382966843055554 1360 0.0103662998730598 0.139 0.139 "Cond" "non-significant"
"D.cl.2" 0.114890052916667 1298 0.00337646660693792 0.354 0.354 "Cond" "non-significant"
"D.cl.3" 0.191483421527778 2211 -0.00896843728610814 0.177 0.417 "Cond" "non-significant"
"D.cl.4" 0.268076790138889 6062 -0.0266259947452929 0.043 0.172 "Cond" "non-significant"
"D.cl.5" 0.34467015875 14012 -0.0223142421998826 0.1 0.4 "Cond" "non-significant"
"D.cl.6" 0.421263527361111 15217 -0.0206753216009881 0.098 0.49 "Cond" "non-significant"
"D.cl.7" 0.497856895972222 15060 0.0290234405127704 0.024 0.168 "Cond" "non-significant"
"D.cl.8" 0.574450264583333 12100 0.0141926248201335 0.167 0.588 "Cond" "non-significant"
"D.cl.9" 0.651043633194444 10941 0.0195710189683773 0.088 0.616 "Cond" "non-significant"
"D.cl.19" 0.0382966843055554 1360 0.0138266772327976 0.058 0.058 "pH" "non-significant"
"D.cl.21" 0.114890052916667 1298 0.00775256870570023 0.147 0.147 "pH" "non-significant"
"D.cl.31" 0.191483421527778 2211 0.0170908405960632 0.026 0.078 "pH" "non-significant"
"D.cl.41" 0.268076790138889 6062 0.018859051812564 0.069 0.174 "pH" "non-significant"
"D.cl.51" 0.34467015875 14012 0.00410708793083859 0.373 0.373 "pH" "non-significant"
"D.cl.61" 0.421263527361111 15217 -0.00924357930863797 0.258 0.516 "pH" "non-significant"
"D.cl.71" 0.497856895972222 15060 -0.00310088572766795 0.384 0.774 "pH" "non-significant"
"D.cl.81" 0.574450264583333 12100 -0.00976292365782721 0.253 1 "pH" "non-significant"
"D.cl.91" 0.651043633194444 10941 0.0140912105607608 0.143 0.858 "pH" "non-significant"
"D.cl.110" 0.0382966843055554 1360 0.00910992329756825 0.169 0.169 "Cl" "non-significant"
"D.cl.22" 0.114890052916667 1298 0.00410369829672401 0.297 0.338 "Cl" "non-significant"
"D.cl.32" 0.191483421527778 2211 -0.00925003828360497 0.171 0.507 "Cl" "non-significant"
"D.cl.42" 0.268076790138889 6062 -0.0281887589924284 0.033 0.132 "Cl" "non-significant"
"D.cl.52" 0.34467015875 14012 -0.0219801942658934 0.088 0.352 "Cl" "non-significant"
"D.cl.62" 0.421263527361111 15217 -0.0197264612225583 0.106 0.44 "Cl" "non-significant"
"D.cl.72" 0.497856895972222 15060 0.0284407042627805 0.039 0.234 "Cl" "non-significant"
"D.cl.82" 0.574450264583333 12100 0.0161021856769229 0.148 0.592 "Cl" "non-significant"
"D.cl.92" 0.651043633194444 10941 0.0212689238588642 0.066 0.462 "Cl" "non-significant"
"D.cl.113" 0.0382966843055554 1360 0.0142463033236179 0.077 0.077 "SO4" "non-significant"
"D.cl.23" 0.114890052916667 1298 0.0065887436256605 0.208 0.208 "SO4" "non-significant"
"D.cl.33" 0.191483421527778 2211 -0.015884342794244 0.073 0.219 "SO4" "non-significant"
"D.cl.43" 0.268076790138889 6062 -0.0387035162472618 0.011 0.044 "SO4" "significant"
"D.cl.53" 0.34467015875 14012 -0.0253091401632006 0.057 0.228 "SO4" "non-significant"
"D.cl.63" 0.421263527361111 15217 -0.0187226918819698 0.133 0.292 "SO4" "non-significant"
"D.cl.73" 0.497856895972222 15060 0.0262418179709406 0.045 0.27 "SO4" "non-significant"
"D.cl.83" 0.574450264583333 12100 0.0128477498645419 0.24 0.416 "SO4" "non-significant"
"D.cl.93" 0.651043633194444 10941 0.015616735784561 0.151 0.532 "SO4" "non-significant"
"D.cl.115" 0.0382966843055554 1360 0.00993581953175073 0.166 0.166 "Na" "non-significant"
"D.cl.24" 0.114890052916667 1298 0.00491983207769779 0.284 0.332 "Na" "non-significant"
"D.cl.34" 0.191483421527778 2211 -0.0115674227548174 0.13 0.39 "Na" "non-significant"
"D.cl.44" 0.268076790138889 6062 -0.0321393631816006 0.023 0.092 "Na" "non-significant"
"D.cl.54" 0.34467015875 14012 -0.0227239815958637 0.091 0.364 "Na" "non-significant"
"D.cl.64" 0.421263527361111 15217 -0.0189270393356291 0.125 0.5 "Na" "non-significant"
"D.cl.74" 0.497856895972222 15060 0.0284778189584163 0.032 0.192 "Na" "non-significant"
"D.cl.84" 0.574450264583333 12100 0.0159048869433125 0.164 0.625 "Na" "non-significant"
"D.cl.94" 0.651043633194444 10941 0.0200912817777986 0.053 0.371 "Na" "non-significant"
"D.cl.117" 0.0382966843055554 1360 0.00948542695983684 0.159 0.159 "K" "non-significant"
"D.cl.25" 0.114890052916667 1298 0.00366650413691066 0.348 0.348 "K" "non-significant"
"D.cl.35" 0.191483421527778 2211 -0.00941915691775605 0.153 0.459 "K" "non-significant"
"D.cl.45" 0.268076790138889 6062 -0.0267270652245117 0.052 0.208 "K" "non-significant"
"D.cl.55" 0.34467015875 14012 -0.0225324936334753 0.089 0.356 "K" "non-significant"
"D.cl.65" 0.421263527361111 15217 -0.0202572600642237 0.108 0.445 "K" "non-significant"
"D.cl.75" 0.497856895972222 15060 0.0291106454727339 0.026 0.182 "K" "non-significant"
"D.cl.85" 0.574450264583333 12100 0.0142135556749765 0.197 0.612 "K" "non-significant"
"D.cl.95" 0.651043633194444 10941 0.01980179611083 0.091 0.623 "K" "non-significant"
"D.cl.119" 0.0382966843055554 1360 0.0105793176805337 0.143 0.143 "Mg" "non-significant"
"D.cl.26" 0.114890052916667 1298 0.00490276179795377 0.275 0.286 "Mg" "non-significant"
"D.cl.36" 0.191483421527778 2211 -0.0124200815032552 0.091 0.273 "Mg" "non-significant"
"D.cl.46" 0.268076790138889 6062 -0.031038546506879 0.023 0.092 "Mg" "non-significant"
"D.cl.56" 0.34467015875 14012 -0.0205566409164372 0.104 0.364 "Mg" "non-significant"
"D.cl.66" 0.421263527361111 15217 -0.0185049993274926 0.134 0.455 "Mg" "non-significant"
"D.cl.76" 0.497856895972222 15060 0.0312768653469269 0.016 0.112 "Mg" "non-significant"
"D.cl.86" 0.574450264583333 12100 0.0155654983481436 0.165 0.546 "Mg" "non-significant"
"D.cl.96" 0.651043633194444 10941 0.0171643612714425 0.109 0.637 "Mg" "non-significant"
"D.cl.120" 0.0382966843055554 1360 0.0136747941393339 0.056 0.056 "Ca" "non-significant"
"D.cl.27" 0.114890052916667 1298 0.00474260705978008 0.268 0.268 "Ca" "non-significant"
"D.cl.37" 0.191483421527778 2211 -0.00766959559633571 0.209 0.418 "Ca" "non-significant"
"D.cl.47" 0.268076790138889 6062 -0.0060523605750856 0.308 0.627 "Ca" "non-significant"
"D.cl.57" 0.34467015875 14012 -0.00381363517633837 0.414 0.836 "Ca" "non-significant"
"D.cl.67" 0.421263527361111 15217 -0.0105669250236248 0.246 1 "Ca" "non-significant"
"D.cl.77" 0.497856895972222 15060 0.0293584058586256 0.012 0.084 "Ca" "non-significant"
"D.cl.87" 0.574450264583333 12100 -0.00871792308183585 0.261 1 "Ca" "non-significant"
"D.cl.97" 0.651043633194444 10941 -0.00263524585335671 0.43 1 "Ca" "non-significant"
