"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"1" 1 0 6.84435197572872e-05 0.000160436047946963 6.76029464984085e-05 -1.36077690329431 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"2" 2 0 0.000145413127001338 0.000324886149536529 0.000172116189116668 -1.04274341336675 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"3" 468 0 0.000581192945674281 0.000967893499342176 0.000589868416495837 -0.65557087454372 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"4" 469 0 0.0002501126338766 0.000265554988801361 0.000153579281922398 -0.100549727355566 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"5" 2 1 0.000110669542086423 0.000137099139598815 7.92501369662965e-05 -0.333495922204304 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"6" 468 1 0.000526519419052651 0.00097802396006711 0.00054889846182056 -0.822564777312238 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"7" 469 1 0.000220990520062521 0.000316379638013739 0.000162402507525804 -0.587362346828676 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"8" 18 12 0.0978410081753819 0.0687769546682196 0.0217429019074167 1.33671455774026 "Miers" "Miers" "Miers"
"9" 62 12 0.000664529177602283 0.0037840555596326 0.00325012035005015 -0.959818728553294 "Miers" "Miers" "Miers"
"10" 15 14 0.0316457236502814 0.0328399310936301 0.0101786122058535 -0.11732517353023 "Lower Wright" "Lower Wright" "Lower Wright"
"11" 16 14 0.00293422522327392 0.0108113620786038 0.00484526480082098 -1.62573918643109 "Lower Wright" "Lower Wright" "Lower Wright"
"12" 17 14 0.0563627661115775 0.0853060017111491 0.029561340764358 -0.979090760134548 "Lower Wright" "Lower Wright" "Lower Wright"
"13" 473 14 0.0136636895183007 0.0160790969232768 0.00697464053594996 -0.346312816054981 "Lower Wright" "Lower Wright" "Lower Wright"
"14" 474 14 0.00615019071200622 0.00690994141766158 0.00439091336733554 -0.173027942502173 "Lower Wright" "Lower Wright" "Lower Wright"
"15" 16 15 0.0275249297388279 0.0233479621554525 0.00865946294455402 0.482358734037008 "Lower Wright" "Lower Wright" "Lower Wright"
"16" 17 15 0.158917320539417 0.117815793912955 0.0391936043416748 1.04867942912714 "Lower Wright" "Lower Wright" "Lower Wright"
"17" 473 15 0.0420977837456321 0.0666646556090355 0.0272564045929918 -0.901324742945741 "Lower Wright" "Lower Wright" "Lower Wright"
"18" 474 15 0.034386458508156 0.0288668720761317 0.0092442971184597 0.597080163185406 "Lower Wright" "Lower Wright" "Lower Wright"
"19" 152 150 0.000943017556959866 0.00185188125814488 0.000952423603895127 -0.954264150392777 "Canada" "Canada" "Canada"
"20" 153 150 0.0122153041917387 0.0229682009539414 0.004424796394025 -2.43014498400938 "Canada" "Canada" "Canada"
