"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "1" "0" 0.0771801081533613 0.098654955919095 0.0105642769050774 -2.03277971210812
"2" "10" "0" 0.288409147341942 0.251950657145438 0.0366183106469252 0.995635504544108
"3" "11" "0" 0.267890875413956 0.255924471466605 0.0333028330311375 0.359320900301858
"4" "12" "0" 0.320998102130145 0.279588044449476 0.0439207866060574 0.942835064683424
"5" "14" "0" 0.305168117364379 0.372238571357662 0.0695130407186788 -0.964861460523916
"6" "15" "0" 0.332138093408438 0.360110219617315 0.0673873390250672 -0.415094684158274
"7" "150" "0" 0.268746498237886 0.270964582446043 0.0354879924089103 -0.0625023862324776
"8" "151" "0" 0.272445479440916 0.261930749395604 0.0364121468257751 0.288769846381859
"9" "152" "0" 0.241737057750368 0.269729637348296 0.0355061356914194 -0.788387106983699
"10" "153" "0" 0.269880473564549 0.322086115471287 0.0498836415401588 -1.04654833317872
"11" "154" "0" 0.229154336388573 0.271468921715323 0.0383624313355402 -1.10302146797325
"12" "155" "0" 0.293374877784294 0.282276298277438 0.0362605645705951 0.306078508106175
"13" "156" "0" 0.28638077147894 0.31651027633524 0.0470853930806098 -0.639890694014565
"14" "157" "0" 0.28331603009113 0.300426291545213 0.0604055099713704 -0.283256634406232
"15" "158" "0" 0.267264591686823 0.271885261082847 0.0335165196909242 -0.137862446299134
"16" "159" "0" 0.257054666467941 0.242805618144511 0.029263115347225 0.486928618308623
"17" "16" "0" 0.372950842352574 0.361548258253575 0.0648311151699771 0.175881350630837
"18" "160" "0" 0.242954980942375 0.270396531843319 0.0428292424397618 -0.64071996929528
"19" "161" "0" 0.220787069329194 0.252593130608724 0.0310842903256237 -1.02321979837229
"20" "162" "0" 0.221881019592815 0.25849368556295 0.0347455256800585 -1.05373757494043
"21" "163" "0" 0.253615619892667 0.260771255039715 0.0320899751967132 -0.222986621310344
"22" "166" "0" 0.25177184910565 0.274222972134363 0.0603760257326359 -0.371854933415683
"23" "168" "0" 0.26476440213104 0.280543242894018 0.0361833705613805 -0.436079904060117
"24" "17" "0" 0.323535534132353 0.290425793150732 0.0404880208831888 0.817766348153827
"25" "172" "0" 0.251561108235982 0.274301065921106 0.0510088802719972 -0.445803898534277
"26" "173" "0" 0.229357765782534 0.27197257179281 0.0442655866719224 -0.962707358339527
"27" "174" "0" 0.259880170932692 0.247072223080776 0.0329594120062593 0.388597583278604
"28" "175" "0" 0.245153089890334 0.303972448957505 0.0425082819437941 -1.38371527564779
"29" "176" "0" 0.463032901147059 0.478712944298336 0.215189259650604 -0.0728662907095676
"30" "177" "0" 0.185747637591624 0.232191969016928 0.0331261452298521 -1.40204455130657
"31" "178" "0" 0.191643346550827 0.199296816878691 0.0272534589062021 -0.280825650579079
"32" "179" "0" 0.193647318423915 0.185870124171191 0.0284630581720524 0.273238181424914
"33" "18" "0" 0.354131422872549 0.355426975874388 0.0631949812912334 -0.0205008843323956
"34" "2" "0" 0.0607675006925459 0.091771121250625 0.0098336383977649 -3.15281275393714
"35" "22" "0" 0.24857233015943 0.268967157594319 0.036234873119478 -0.562850803082452
"36" "23" "0" 0.298448409718515 0.30777995827629 0.0914708017538756 -0.102016691434322
"37" "24" "0" 0.324455013189443 0.347976906730666 0.0826078683844741 -0.284741562773979
"38" "25" "0" 0.25026649720831 0.294387350745385 0.0391406187884076 -1.12723955069773
"39" "26" "0" 0.278876743919656 0.32094537104719 0.0461389438154113 -0.911781320696001
"40" "28" "0" 0.264604356393178 0.335379760258551 0.0586743840847389 -1.20624025235881
"41" "29" "0" 0.298789853582108 0.343935424202466 0.0602114976141546 -0.749783220966515
"42" "3" "0" 0.160001439543594 0.192789535007519 0.0312483277336355 -1.0492752042098
"43" "30" "0" 0.178360911327563 0.176628441088633 0.0226366033960296 0.0765340191997981
"44" "31" "0" 0.283644865651397 0.275029104369153 0.0357038074999739 0.241312114464271
"45" "32" "0" 0.247278456954737 0.278422112614555 0.0448841215430878 -0.693868000288717
"46" "33" "0" 0.271719612025829 0.284580108231504 0.0359223450748136 -0.358008258617049
"47" "34" "0" 0.332930061345588 0.324785549671864 0.0434196935137092 0.187576443190524
"48" "35" "0" 0.381775945940084 0.339867994757566 0.0603378822340365 0.69455455894138
"49" "36" "0" 0.281063694508472 0.373858514697532 0.100796385229777 -0.920616547681979
"50" "37" "0" 0.242206701194649 0.268650534664279 0.0368887486744224 -0.716853632066033
"51" "38" "0" 0.226322396589797 0.239674948029118 0.0298859135249388 -0.446784115472278
"52" "4" "0" 0.182847322028081 0.200116885971994 0.0319742546298131 -0.540108413592574
"53" "41" "0" 0.277338525307459 0.283516698436693 0.0629173393963417 -0.09819507926608
"54" "43" "0" 0.315541644179748 0.273538034422163 0.0680909690589656 0.616874900417569
"55" "44" "0" 0.347641083729452 0.292949777472123 0.0627961934591466 0.870933463393923
"56" "45" "0" 0.313728710289957 0.270649084246272 0.0707038447444317 0.609296795660862
"57" "46" "0" 0.327921940070592 0.276971828005066 0.0842386480653086 0.60483060015428
