"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"29bd4c05b8703b972ca9abbcc2929822"	223	61	235	421	214	69	12	0	8	12	0	14	0	0	10	0	14	67	0	35	27	75	312	236	265	173	45	0	140	45	328	153	251	99
"00f20d641a58e3c82c5756568ad89548"	60	0	0	73	0	171	406	145	512	95	66	147	107	175	77	250	188	185	276	0	0	74	0	64	0	61	0	0	0	0	68	76	0	83
"2d9a9d6012e671d8135cb2df734d9edd"	52	0	44	40	74	83	0	161	0	135	125	56	110	261	175	119	131	0	374	313	109	101	79	69	53	0	100	254	73	113	0	0	70	59
"c1be1572f5d0338f1cca9b274a8d54e6"	135	29	56	150	184	408	107	219	83	44	0	106	124	0	0	0	0	47	0	0	82	286	103	55	92	63	88	89	26	275	79	62	185	103
"bfe7795e52d043e68f31cc33f4023911"	52	28	51	47	65	85	134	101	169	128	101	155	89	209	196	277	156	187	19	62	117	104	62	53	27	34	56	24	31	110	43	81	59	83
"146195f72933e590d98b89c38d6eda33"	87	31	50	87	119	98	89	30	99	57	92	92	94	148	171	152	161	114	125	146	114	98	92	84	63	46	62	34	66	81	58	77	131	122
"c1dbed49b6ae7ebfe39e2d86023e7e0d"	150	46	138	107	174	36	159	89	132	0	0	62	55	0	0	0	0	135	0	0	0	48	158	327	152	122	203	77	122	0	166	194	81	21
"98d23c5d4d9c8e08b1b0f5c3e10d3821"	111	32	119	354	180	9	32	74	11	28	13	73	46	23	10	0	168	29	0	67	0	71	147	190	138	81	29	30	89	53	115	123	223	53
"88f2d1164fbbde8282b9288408fba5ec"	86	106	154	303	152	4	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	3	366	518	132	286	33	0	116	0	59	238	53	0
"cc2915b764b53d86be9c17337954ba02"	88	34	51	117	56	0	184	100	193	145	0	154	137	0	88	52	200	278	0	45	0	76	105	78	48	90	0	0	47	0	87	66	68	0
"fa96cbd7b2df953f48e159b78c51527d"	0	11	17	0	29	243	22	0	0	23	349	0	56	90	19	58	33	43	644	273	181	0	19	38	28	0	32	122	17	74	0	0	39	89
"a1a46747a2d054385d4531d04d78eefa"	0	0	0	0	0	33	51	0	19	169	46	15	52	454	270	787	175	114	173	15	30	2	3	0	0	0	0	4	0	8	20	0	0	7
"612b259eb6294befb380ac4de0737a94"	0	0	0	0	18	35	18	51	120	123	44	61	42	556	440	221	130	69	127	129	102	22	0	0	0	0	20	0	0	42	0	11	0	64
"3b73aa488ac80fc7809f7b8d7eecf061"	12	216	155	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	289	71	124	41	78	1134	155	0	13	80	16	0
"79c9235ff041fe76f6dc89a18c5a222a"	125	0	128	110	68	0	127	167	56	0	0	184	168	0	0	0	22	74	0	0	0	60	156	128	132	132	0	0	159	0	115	148	136	0
"1db22b035d3fb0858c969f8fedda264f"	0	17	0	0	24	38	0	24	45	70	80	16	46	396	273	196	89	27	507	165	44	80	15	0	11	0	17	99	9	27	0	0	18	29
