"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"183780e73d59d90d37fd51b327ed7e8f",18,847.190910587975,1.92030724915987e-05,0.529411764705882
"7fb5a36541cfcf1a186efa5a8f707d67",2,461,1.86678614097969e-05,0
"b33ad18b61a4434ed227ab0ff772d83a",12,16.9409893030817,1.9147184406533e-05,0.696969696969697
"995a69bf9c40ba0af7a70133a6bbb736",34,1047.0955997867,1.90887052131254e-05,0.490196078431373
"e4416693219be2d40fd31eb431d07fd7",8,975.005672895184,1.89720920525906e-05,0.25
"ce39dc544711b1a06a0eaeb76dacfa4b",17,469.176766601917,1.91776618594661e-05,0.455882352941176
"4c327505a6047f3d55fb7f6a74f1a0a8",0,0,3.26411238991781e-06,NA
"9e926cd50362b31502a5d328a8ed24d7",30,1782.45839818453,1.9114611208808e-05,0.420689655172414
"cc7083382d1b6af8feb121cfe2779359",1,0,1.89444170802864e-05,NA
"d0dad971506647d25b7ec3c857964526",16,945.116987128752,1.92633687779319e-05,0.475
"9fde9971ce2276d0b46da55cd7aafa0a",5,0,1.90182765637778e-05,1
"e0664ddae2a33c37f1024d28e5ec7128",27,4435.34820667009,1.92163569630469e-05,0.310541310541311
"15a987cb5704934a82dd41f66761f47f",36,10459.0910711912,1.92990582059595e-05,0.365079365079365
"5f66e32f4a373fd9522e3987ce77c290",26,3338.02669004736,1.92348381388371e-05,0.523076923076923
"6660b87e551ed6cf9755987868f5f000",11,399.461473325141,1.91883334932361e-05,0.509090909090909
"7e9e02e1e6d645b6b02ea65d1fc1b4e7",37,4925.0925762843,1.91592903398858e-05,0.397897897897898
"b9ce5e80d8046703d204eddcf74b10eb",2,461,1.88083057478182e-05,0
"a7b4f098724fcc91ece8ec27f0985049",31,1149.63643149019,1.91076717301997e-05,0.479569892473118
"3cd5528177788b43960cf1fbbac6c08c",41,132.524040378857,1.92063918872201e-05,0.735365853658537
"48a7af65c55adc4dd66178efefb01ed9",2,1377,1.89926308592266e-05,0
"08f8d83d9566e6477feaa25a1a3ca5e5",33,769.010596820517,1.9077416154756e-05,0.433712121212121
"2c2fa447568f6a2dce1cfa950437d7f5",32,1035.70218639641,1.90806922475147e-05,0.487903225806452
"e5785d16870445f9527d02d282b7e011",20,1107.66308620787,1.92063918872201e-05,0.436842105263158
"2b1518fe0faccf2832ca45e2b0aef189",38,3279.18089401898,1.91051163501586e-05,0.376955903271693
"d1a174f0eed67233764c9dd8c0ee3d36",28,1050.35312782034,1.92289202961254e-05,0.542328042328042
"db98fc98cf5867c20a997a80bd230125",7,74.764645751649,1.91127845415799e-05,0.476190476190476
"f0709f171b589606c85046e0d3d661c6",21,2382.21894165625,1.92607715865098e-05,0.561904761904762
"e039fb223efec8cc9a3015fd7fae5cb4",31,1138.75813910378,1.91073066340569e-05,0.419354838709677
"1b35036bdd92d5a4466b8584cfa024ba",22,188.629655512357,1.90792360673879e-05,0.662337662337662
"a47c3650850a963cd2b9deee9f7ea0fc",36,1731.24450909666,1.91138805000191e-05,0.442857142857143
"f124f777869e14203b2afc6ee6279a56",18,7393.20103485644,1.91493843472932e-05,0.339869281045752
"d662d41c478094e4a8f701d57e0564d4",2,2.50234402673403,1.91997542431457e-05,0
"da2afc0030d5ea94bf24861a7c1937c8",3,1841.29762579499,1.91581891679598e-05,0
"e4320c84baca9867ccb0dfd9a5156b06",77,1809.45989514689,1.93128488383321e-05,0.606288448393712
"53d41d00c5f362e270bd64b86850a618",6,172.253972876601,1.90737773708705e-05,0.333333333333333
"25cb02fb17426d878afd69a79572b858",29,586.715758914736,1.90436289539335e-05,0.495073891625616
"dfd0d5d0cd85ed96e2533d3473be87da",58,3131.00198200716,1.93121028948842e-05,0.611615245009074
"39c47f3d76baee36a286c74330d36b6f",33,6532.23098588027,1.92797100331611e-05,0.301136363636364
"7b7595f9b76cf1c37a9b7943d54f75c2",17,256.92348260696,1.92644820743994e-05,0.625
"2629ac2b78514355aa0f84f2744fb028",0,0,3.26411238991781e-06,NA
"250ffd863e2b6b03e402c166ddf9fad7",0,0,3.26411238991781e-06,NA
"b33be4c8504ad51cef6ba2de10577743",30,706.0456458021,1.90868834936632e-05,0.480459770114943
"6ace4e7664815b50cab6e2db8056b113",38,79.490076899371,1.92537255959028e-05,0.761024182076814
"29bd4c05b8703b972ca9abbcc2929822",75,1041.89132957743,1.9293473018078e-05,0.599279279279279
"81cf26ae410f4dc2c3782b60aeda6bad",19,2194.04062176751,1.92252234932231e-05,0.473684210526316
"00f20d641a58e3c82c5756568ad89548",19,747.595708671193,1.91299690094502e-05,0.549707602339181
"2d9a9d6012e671d8135cb2df734d9edd",22,643.838325201949,1.90708673430468e-05,0.493506493506494
"c1be1572f5d0338f1cca9b274a8d54e6",7,881.719175159594,1.92211586514435e-05,0.285714285714286
"1ea07fe0b6c2c00341fc8ecbaeadb555",2,0,1.88714851858841e-05,1
"bfe7795e52d043e68f31cc33f4023911",38,3000.98254178887,1.91204588910134e-05,0.352773826458037
"146195f72933e590d98b89c38d6eda33",12,3.13657427574536,1.90132141838578e-05,0.818181818181818
"a5927113ef0dddaffbd1938bc5eef420",4,0,1.9147184406533e-05,1
"38ce83ce2922ff43032f70fa5adad3a6",1,0,3.27592815234376e-06,NA
"208daa2a0a9431b996760dfed1f9f6d5",9,450.003042882487,1.90410906736738e-05,0.444444444444444
"c1dbed49b6ae7ebfe39e2d86023e7e0d",56,1856.41285953976,1.93139678615575e-05,0.62012987012987
"98d23c5d4d9c8e08b1b0f5c3e10d3821",71,238.120518251732,1.92916120070993e-05,0.73158953722334
"88f2d1164fbbde8282b9288408fba5ec",133,1223.25586745484,1.93221779959037e-05,0.453634085213033
"bcf48260ab6de20c82d8a703407e66ad",3,461,1.88348746539092e-05,0.333333333333333
"cc2915b764b53d86be9c17337954ba02",28,2915.51904776753,1.92422405664916e-05,0.55026455026455
"fa96cbd7b2df953f48e159b78c51527d",14,1590.09005564237,1.90978190290669e-05,0.571428571428571
"28bc4d20befe48bd9fc12456d11ad7d5",18,1417.55737087907,1.92207892056048e-05,0.398692810457516
"ddb51f97a8df8bfd7be315d74cc779ba",4,464.497165660877,1.91113234591495e-05,0.166666666666667
"2485303879b6cf4a626fca6dcb328f16",1,0,3.27592815234376e-06,NA
"eafe7d540b341abd0b7e5e3164e2f40f",2,0,1.9099642836679e-05,1
"a1a46747a2d054385d4531d04d78eefa",28,1375.57872870064,1.91197277350771e-05,0.515873015873016
"612b259eb6294befb380ac4de0737a94",36,2619.71089366807,1.91226526943818e-05,0.433333333333333
"3b73aa488ac80fc7809f7b8d7eecf061",60,1191.21600237081,1.9269679159842e-05,0.487570621468927
"1ccbf55b47c2919b550103df1667d244",22,936.988908615752,1.92200503565319e-05,0.588744588744589
"79c9235ff041fe76f6dc89a18c5a222a",51,3522.52992177263,1.93031560660168e-05,0.487058823529412
"1db22b035d3fb0858c969f8fedda264f",29,687.810256811554,1.90934433115668e-05,0.556650246305419
"a679b90b860713e81fcb5971e697632e",1,0,1.90472562427382e-05,NA
"1e49a80064dfde5ad89169cb076745f0",30,6956.24306911146,1.92681939921771e-05,0.404597701149425
"b33369fcff33a6052857b70e91a67677",3,0,1.91073066340569e-05,1
"ec20c4158ae8572e64663bf4bcfc3c11",21,544.173089413514,1.90949016612564e-05,0.490476190476191
"59126c9d338650496b528ac9763fef32",25,1930.1339558778,1.92492781520693e-05,0.483333333333333
"563dafa7ecbdaec2addabcff3bdce142",23,747.190892575366,1.91574551236614e-05,0.596837944664032
"0b38f5929a79ed8f35a3e08113420bac",14,29.1258636689668,1.91084019643437e-05,0.78021978021978
