"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"d662d41c478094e4a8f701d57e0564d4"	171	85	55	199	189	667	81	204	235	37	60	86	71	21	91	0	379	102	0	0	45	128	137	238	174	193	125	119	114	185	329	176	342	56
"da2afc0030d5ea94bf24861a7c1937c8"	112	57	131	48	244	240	0	392	92	65	208	35	92	53	222	102	70	35	59	197	162	182	284	221	207	64	197	80	165	349	102	54	220	160
"e4320c84baca9867ccb0dfd9a5156b06"	305	51	178	484	310	37	79	238	123	0	0	374	106	0	0	0	0	29	0	32	0	374	328	370	168	191	86	10	71	134	237	244	295	0
"53d41d00c5f362e270bd64b86850a618"	135	135	69	119	105	315	242	105	193	159	108	274	320	27	52	25	190	369	0	37	188	95	173	119	73	86	164	227	82	97	73	163	152	167
"25cb02fb17426d878afd69a79572b858"	93	83	94	0	101	265	46	99	167	109	247	70	126	256	205	643	164	159	195	137	213	118	109	88	98	69	129	151	104	227	0	79	97	78
"dfd0d5d0cd85ed96e2533d3473be87da"	236	103	213	152	229	74	129	264	534	58	0	146	106	0	87	0	56	194	0	0	36	181	400	307	171	146	127	22	150	25	177	317	123	0
"39c47f3d76baee36a286c74330d36b6f"	104	103	242	339	331	114	0	24	0	26	325	40	19	7	0	8	20	21	57	98	158	164	238	132	247	111	145	177	196	113	206	138	569	245
"7b7595f9b76cf1c37a9b7943d54f75c2"	153	45	115	273	231	0	204	308	90	88	0	242	177	0	0	0	104	111	0	291	75	140	212	145	69	122	38	0	141	148	161	296	160	86
"b33be4c8504ad51cef6ba2de10577743"	62	65	37	30	67	78	50	72	60	52	161	30	127	314	233	512	234	78	176	186	147	123	66	42	37	28	102	136	67	130	36	38	82	49
"6ace4e7664815b50cab6e2db8056b113"	300	209	180	387	262	39	44	180	10	8	0	9	61	0	0	0	0	0	0	0	0	32	122	0	0	214	156	27	87	64	190	991	0	0
"29bd4c05b8703b972ca9abbcc2929822"	223	61	235	421	214	69	12	0	8	12	0	14	0	0	10	0	14	67	0	35	27	75	312	236	265	173	45	0	140	45	328	153	251	99
"81cf26ae410f4dc2c3782b60aeda6bad"	76	47	98	90	87	225	96	190	279	171	57	167	148	24	139	0	148	357	0	7	86	64	112	116	81	57	55	58	57	49	87	86	77	94
