"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"183780e73d59d90d37fd51b327ed7e8f",17,251.929229933933,0.000246913580246914,0.595588235294118
"7fb5a36541cfcf1a186efa5a8f707d67",1,0,0.000200080032012805,NA
"b33ad18b61a4434ed227ab0ff772d83a",12,12.5053984464617,0.000241021932995903,0.696969696969697
"995a69bf9c40ba0af7a70133a6bbb736",30,225.516527574981,0.000232288037166086,0.551724137931034
"e4416693219be2d40fd31eb431d07fd7",7,588.517888211078,0.000223713646532438,0.333333333333333
"ce39dc544711b1a06a0eaeb76dacfa4b",14,201.998625264414,0.000244021473889702,0.538461538461538
"9e926cd50362b31502a5d328a8ed24d7",27,1170.31457470691,0.000238265427686443,0.447293447293447
"cc7083382d1b6af8feb121cfe2779359",1,0,0.000220167327168648,NA
"d0dad971506647d25b7ec3c857964526",16,346.263523998901,0.000250563768479078,0.475
"9fde9971ce2276d0b46da55cd7aafa0a",5,0,0.000225073148773351,1
"e0664ddae2a33c37f1024d28e5ec7128",23,1802.12919888073,0.000247954376394743,0.355731225296443
"15a987cb5704934a82dd41f66761f47f",35,5693.97021974811,0.000256410256410256,0.366386554621849
"5f66e32f4a373fd9522e3987ce77c290",18,3861.90595303837,0.000249376558603491,0.42483660130719
"6660b87e551ed6cf9755987868f5f000",11,236.87062741749,0.000244917952485917,0.509090909090909
"7e9e02e1e6d645b6b02ea65d1fc1b4e7",27,921.980688254745,0.000237135404315864,0.47008547008547
"b9ce5e80d8046703d204eddcf74b10eb",2,292,0.000210084033613445,0
"a7b4f098724fcc91ece8ec27f0985049",27,409.65514990217,0.000236127508854782,0.552706552706553
"3cd5528177788b43960cf1fbbac6c08c",28,292.422119956675,0.000244021473889702,0.891534391534392
"48a7af65c55adc4dd66178efefb01ed9",2,582,0.000226449275362319,0
"08f8d83d9566e6477feaa25a1a3ca5e5",27,307.405169021311,0.00023121387283237,0.515669515669516
"2c2fa447568f6a2dce1cfa950437d7f5",29,456.876640752445,0.000235238767348859,0.541871921182266
"e5785d16870445f9527d02d282b7e011",20,681.930841880287,0.000246852628980499,0.436842105263158
"2b1518fe0faccf2832ca45e2b0aef189",31,1611.86779827695,0.000236127508854782,0.445161290322581
"d1a174f0eed67233764c9dd8c0ee3d36",21,410.162993693248,0.000247586036147561,0.528571428571429
"db98fc98cf5867c20a997a80bd230125",4,175.750874491754,0.000234192037470726,0.166666666666667
