"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"76" "SRR12805388" "SRR12805341" 0.629905620756471 0.488725682516183 0.0998200185389708 1.41434494109184
"77" "SRR12805389" "SRR12805341" 0.546874781626667 0.509041295287926 0.120566858087403 0.313796734350614
"78" "SRR12805390" "SRR12805341" 0.59102146614 0.559324573832973 0.186022438257034 0.170392844024711
"79" "SRR12805391" "SRR12805341" 0.552697182436667 0.473732867646672 0.0842558689760321 0.937196610154928
"80" "SRR12805392" "SRR12805341" 0.500249343537143 0.467300811842257 0.0814852516841651 0.404349633999954
"81" "SRR12805393" "SRR12805341" 0.510628716467273 0.492342027224765 0.0949812545514591 0.192529455721187
"82" "SRR12805394" "SRR12805341" NA NA NA NA
"83" "SRR12805395" "SRR12805341" 0.41764940821 0.507192319717087 0.118097218446229 -0.758213552234146
"84" "SRR12805396" "SRR12805341" 0.533952668532857 0.506736420435242 0.114201454436146 0.238317876352725
"85" "SRR12805397" "SRR12805341" 0.427511917857931 0.378971988465398 0.059096180841873 0.821371680894478
"86" "SRR12805398" "SRR12805341" 0.480892705153077 0.478389806839285 0.0878932193009549 0.028476580260661
"87" "SRR12805399" "SRR12805341" 0.49845335014 0.554064047225145 0.180509002171489 -0.308077139733526
"88" "SRR12805400" "SRR12805341" 0.367733116868696 0.454580544175953 0.0720380011990683 -1.20557797081662
"89" "SRR12805401" "SRR12805341" 0.387345219908182 0.492207936111333 0.103236272526832 -1.01575457575628
"90" "SRR12805402" "SRR12805341" 0.402031978146667 0.448156795134726 0.0662497521859831 -0.69622625694619
"91" "SRR12805403" "SRR12805341" 0.354043831525882 0.346871351232282 0.0666173002795022 0.107666931315252
"92" "SRR12805404" "SRR12805341" 0.39589233796 0.475855395615718 0.0864728625359162 -0.924718522212743
"93" "SRR12805405" "SRR12805341" 0.512275798473333 0.490284877719353 0.0966977546842269 0.227419145623323
"94" "SRR12805406" "SRR12805341" 0.502302629091579 0.489523724205335 0.0986640217732553 0.129519399843765
"95" "SRR12805407" "SRR12805341" 0.47403707533 0.474659297937227 0.0844712504720829 -0.00736608732260757
"96" "SRR12805408" "SRR12805341" 0.50204368114 0.563948799136997 0.177340104079727 -0.349075683237257
"97" "SRR12805363" "SRR12805352" 0.7762472796875 0.597196303844407 0.198848282490622 0.900440142607406
"98" "SRR12805374" "SRR12805352" 0.517330868107558 0.496544601555107 0.102985068333341 0.201837673061206
"99" "SRR12805381" "SRR12805352" 0.460508409098214 0.546423874853197 0.137835147291023 -0.623320447966599
"100" "SRR12805382" "SRR12805352" 0.516755119797297 0.495640479519443 0.10252298377569 0.205950309874423
"101" "SRR12805383" "SRR12805352" 0.442884752325 0.528610785164264 0.114519863596371 -0.748569114100664
"102" "SRR12805384" "SRR12805352" 0.4686648245 0.523498631404613 0.119128408744167 -0.460291608715858
"103" "SRR12805385" "SRR12805352" 0.447718484454545 0.510632608515513 0.110192547136826 -0.570947180146826
"104" "SRR12805386" "SRR12805352" 0.4806348980625 0.529810662371991 0.115126679781281 -0.42714481476332
"105" "SRR12805387" "SRR12805352" 0.659598560862981 0.49711951580538 0.098635132704192 1.64727354851215
"106" "SRR12805388" "SRR12805352" 0.751686186205882 0.521714999336427 0.116813081299796 1.96871090386909
"107" "SRR12805389" "SRR12805352" 0.648814937638889 0.541156275658457 0.13244233653763 0.812871962205556
"108" "SRR12805390" "SRR12805352" 0.7004915606875 0.596199460591404 0.19935131779776 0.52315731467549
"109" "SRR12805391" "SRR12805352" 0.647777189416667 0.509593622824262 0.108830968014299 1.26970814570214
"110" "SRR12805392" "SRR12805352" 0.42646963938125 0.500836914331682 0.104881139686246 -0.709062422213403
"111" "SRR12805393" "SRR12805352" 0.636173281386364 0.526559504930868 0.118755184954585 0.92302307892842
"112" "SRR12805394" "SRR12805352" NA NA NA NA
"113" "SRR12805395" "SRR12805352" 0.4915627465 0.544307055914321 0.134319549067538 -0.39267783267944
"114" "SRR12805396" "SRR12805352" 0.57690575959375 0.5404725502635 0.134446952155229 0.270985758666994
"115" "SRR12805397" "SRR12805352" 0.48672782478125 0.487918979243309 0.0947391369303213 -0.012572992541985
"116" "SRR12805398" "SRR12805352" 0.552176212622596 0.508748376970687 0.111808229235713 0.388413589489508
"117" "SRR12805399" "SRR12805352" 0.5794417506875 0.58854573985767 0.18972584008026 -0.0479849722437329
"118" "SRR12805400" "SRR12805352" 0.470613686521739 0.489818589284456 0.0956640586995305 -0.200753585241839
"119" "SRR12805401" "SRR12805352" 0.451101316090909 0.526721359651114 0.12337204758699 -0.612943085887306
"120" "SRR12805402" "SRR12805352" 0.400543570114583 0.4828666546482 0.0932388475051241 -0.882926877974256
"121" "SRR12805403" "SRR12805352" 0.373802840772059 0.513959166814616 0.111724140421537 -1.25448560636712
"122" "SRR12805404" "SRR12805352" 0.462894457661765 0.512012772685879 0.104374255751312 -0.470597990572947
"123" "SRR12805405" "SRR12805352" 0.621745893020833 0.522472205539237 0.118982367384228 0.83435629718993
"124" "SRR12805406" "SRR12805352" 0.430332416865132 0.524295667019202 0.118332893787184 -0.794058584615186
"125" "SRR12805407" "SRR12805352" 0.4086682768 0.512297860766761 0.108190620745069 -0.957842586104988
"126" "SRR12805408" "SRR12805352" 0.5766716173125 0.598343046416854 0.190544531958776 -0.113734195789165
"127" "SRR12805374" "SRR12805363" 0.518992834162791 0.565255378936413 0.187928475452629 -0.246171021513362
"128" "SRR12805381" "SRR12805363" 0.787556286857143 0.617420982325182 0.211894142758914 0.802925943665816
"129" "SRR12805382" "SRR12805363" 0.65709109072973 0.566245236287206 0.187113457810166 0.485512135287942
"130" "SRR12805383" "SRR12805363" 0.7701589628 0.598549747905906 0.193604506977186 0.886390598925035
"131" "SRR12805384" "SRR12805363" 0.396046096833333 0.59415838715699 0.200835598002981 -0.986440114668896
"132" "SRR12805385" "SRR12805363" 0.618476959704546 0.580611623144508 0.190919303269099 0.198331629707796
"133" "SRR12805386" "SRR12805363" 0.726369885909091 0.598277275089044 0.193464958415419 0.662097218375845
"134" "SRR12805387" "SRR12805363" 0.784994083384616 0.566772471242916 0.18800855732029 1.16070042370432
"135" "SRR12805388" "SRR12805363" 0.852994742470588 0.592319942647471 0.197811308238106 1.31779523701114
"136" "SRR12805389" "SRR12805363" 0.770390979555556 0.609775719592926 0.207384729942456 0.774479683278496
"137" "SRR12805390" "SRR12805363" 0.170931121 0.663189952584585 0.246138726938276 -1.99992434229185
"138" "SRR12805391" "SRR12805363" 0.760492837666667 0.575961121173674 0.192760526877285 0.957310708174547
"139" "SRR12805392" "SRR12805363" 0.736945308557143 0.570324173763006 0.189492054475582 0.879304070322418
"140" "SRR12805393" "SRR12805363" 0.747576616272727 0.599463903324825 0.198263897297714 0.747048327843046
