Site1	Site2	RCb
125	SRR12805352	SRR12805407	1
126	SRR12805352	SRR12805408	-0.0707070707070707
127	SRR12805363	SRR12805374	1
128	SRR12805363	SRR12805381	0.171717171717172
129	SRR12805363	SRR12805382	0.919191919191919
130	SRR12805363	SRR12805383	0.373737373737374
131	SRR12805363	SRR12805384	0.777777777777778
132	SRR12805363	SRR12805385	0.818181818181818
133	SRR12805363	SRR12805386	0.636363636363636
134	SRR12805363	SRR12805387	0.656565656565657
135	SRR12805363	SRR12805388	0.939393939393939
136	SRR12805363	SRR12805389	0.838383838383838
137	SRR12805363	SRR12805390	0.878787878787879
138	SRR12805363	SRR12805391	0.414141414141414
139	SRR12805363	SRR12805392	0.494949494949495
140	SRR12805363	SRR12805393	0.95959595959596
141	SRR12805363	SRR12805394	1
142	SRR12805363	SRR12805395	0.939393939393939
143	SRR12805363	SRR12805396	1
144	SRR12805363	SRR12805397	1
145	SRR12805363	SRR12805398	1
146	SRR12805363	SRR12805399	1
147	SRR12805363	SRR12805400	0.878787878787879
148	SRR12805363	SRR12805401	1
149	SRR12805363	SRR12805402	0.696969696969697
150	SRR12805363	SRR12805403	1
151	SRR12805363	SRR12805404	1
152	SRR12805363	SRR12805405	1
153	SRR12805363	SRR12805406	0.878787878787879
154	SRR12805363	SRR12805407	1
155	SRR12805363	SRR12805408	0.777777777777778
156	SRR12805374	SRR12805381	0.0101010101010102
157	SRR12805374	SRR12805382	0.696969696969697
158	SRR12805374	SRR12805383	0.0505050505050506
159	SRR12805374	SRR12805384	0.515151515151515
160	SRR12805374	SRR12805385	1
161	SRR12805374	SRR12805386	0.212121212121212
162	SRR12805374	SRR12805387	-0.0707070707070707
163	SRR12805374	SRR12805388	0.95959595959596
164	SRR12805374	SRR12805389	0.939393939393939
165	SRR12805374	SRR12805390	0.95959595959596
166	SRR12805374	SRR12805391	0.414141414141414
167	SRR12805374	SRR12805392	0.292929292929293
168	SRR12805374	SRR12805393	1
169	SRR12805374	SRR12805394	0.97979797979798
170	SRR12805374	SRR12805395	1
171	SRR12805374	SRR12805396	1
172	SRR12805374	SRR12805397	1
173	SRR12805374	SRR12805398	0.414141414141414
174	SRR12805374	SRR12805399	0.333333333333333
175	SRR12805374	SRR12805400	0.515151515151515
176	SRR12805374	SRR12805401	1
177	SRR12805374	SRR12805402	0.97979797979798
178	SRR12805374	SRR12805403	0.454545454545455
179	SRR12805374	SRR12805404	1
180	SRR12805374	SRR12805405	0.252525252525253
181	SRR12805374	SRR12805406	0.757575757575758
182	SRR12805374	SRR12805407	0.878787878787879
183	SRR12805374	SRR12805408	1
184	SRR12805381	SRR12805382	0.878787878787879
185	SRR12805381	SRR12805383	1
186	SRR12805381	SRR12805384	0.656565656565657
187	SRR12805381	SRR12805385	-0.393939393939394
188	SRR12805381	SRR12805386	0.97979797979798
189	SRR12805381	SRR12805387	1
190	SRR12805381	SRR12805388	0.797979797979798
191	SRR12805381	SRR12805389	0.535353535353535
192	SRR12805381	SRR12805390	0.878787878787879
193	SRR12805381	SRR12805391	0.939393939393939
194	SRR12805381	SRR12805392	1
195	SRR12805381	SRR12805393	0.171717171717172
196	SRR12805381	SRR12805394	-0.171717171717172
197	SRR12805381	SRR12805395	-0.0707070707070707
198	SRR12805381	SRR12805396	0.939393939393939
199	SRR12805381	SRR12805397	0.777777777777778
200	SRR12805381	SRR12805398	0.0505050505050506
201	SRR12805381	SRR12805399	0.232323232323232
202	SRR12805381	SRR12805400	0.898989898989899
203	SRR12805381	SRR12805401	0.434343434343434
204	SRR12805381	SRR12805402	-0.171717171717172
205	SRR12805381	SRR12805403	0.353535353535354
206	SRR12805381	SRR12805404	0.353535353535354
207	SRR12805381	SRR12805405	0.656565656565657
208	SRR12805381	SRR12805406	0.95959595959596
209	SRR12805381	SRR12805407	0.292929292929293
210	SRR12805381	SRR12805408	0.292929292929293
211	SRR12805382	SRR12805383	0.898989898989899
212	SRR12805382	SRR12805384	0.717171717171717
