"","Phylum","Abundance","Relative Abundance %"
"1","Opisthokonta",257017,46.94434
"2","Archaeplastida",147202,26.88655
"3","SAR",126854,23.16998
"4","Excavata",12570,2.29592
"5","Amoebozoa",3433,0.62704
"6","Incertae Sedis",417,0.07617
