"","Phylum","Abundance","Relative Abundance %"
"1","SAR",1043,41.11155
"2","Opisthokonta",686,27.03981
"3","Archaeplastida",670,26.40914
"4","Amoebozoa",82,3.23216
"5","Incertae Sedis",23,0.90658
"6","Haptophyta",14,0.55183
"7","Excavata",11,0.43358
"8","Centrohelida",8,0.31533
