"","Phylum","Abundance","Relative Abundance %"
"1","SAR",74934,50.77655
"2","Opisthokonta",43692,29.60644
"3","Archaeplastida",20053,13.58825
"4","Amoebozoa",4035,2.73418
"5","Excavata",3893,2.63796
"6","Centrohelida",557,0.37743
"7","Cryptophyceae",188,0.12739
"8","Incertae Sedis",175,0.11858
"9","Haptophyta",49,0.0332
