"","Phylum","Abundance","Relative Abundance %"
"1","Opisthokonta",235249,43.07611
"2","SAR",159935,29.28547
"3","Archaeplastida",131338,24.04912
"4","Excavata",12620,2.31083
"5","Amoebozoa",5788,1.05983
"6","Incertae Sedis",563,0.10309
"7","Centrohelida",449,0.08222
"8","Cryptophyceae",130,0.0238
"9","Haptophyta",52,0.00952
