Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,undefined,undefined,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,diameter1,diameter2,DNA_per_g,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,org_matter,Organism,undefined,Platform,ReleaseDate,undefined,samp_collect_device,samp_size,samp_store_dur,samp_store_loc,samp_store_temp,Sample Name,SRA Study,undefined,water_content
SRR12805337,AMPLICON,302,13042172,PRJNA668398,SAMN16408952,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6596202,UNIVERSITY OF COLORADO AT BOULDER,0.023 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",0.49,1.01,0.88,6.7,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274176,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T11_18S,PAIRED,PCR,GENOMIC,Total: 0.42%,sediment metagenome,7.6,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 10,SIPRE core frozen,160.7 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T11,SRP286940,< 0 C,22%
SRR12805338,AMPLICON,302,9531724,PRJNA668398,SAMN16408951,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",4843661,UNIVERSITY OF COLORADO AT BOULDER,0.101 ug / g cryoconite,Dec-2017,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",0.32,0.39,0.37,0.88,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274175,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T10_18S,PAIRED,PCR,GENOMIC,Total: 0.42%,sediment metagenome,7.94,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 9,SIPRE core frozen,16.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T10,SRP286940,< 0 C,26%
SRR12805339,AMPLICON,302,11762598,PRJNA668398,SAMN16408950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5920135,UNIVERSITY OF COLORADO AT BOULDER,0.028 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",0.33,0.28,0.25,0.79,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274174,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T9_18S,PAIRED,PCR,GENOMIC,Total: 0.44%,sediment metagenome,7.98,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 8,SIPRE core frozen,60.2 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T9,SRP286940,< 0 C,23%
SRR12805340,AMPLICON,302,11909068,PRJNA668398,SAMN16408949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6063403,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",0.4,0.56,0.4,1.21,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274173,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T8_18S,PAIRED,PCR,GENOMIC,NA,sediment metagenome,8.18,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 7,SIPRE core frozen,47.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T8,SRP286940,< 0 C,7%
SRR12805341,AMPLICON,502,14403384,PRJNA668398,SAMN16408927,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",9369086,UNIVERSITY OF COLORADO AT BOULDER,0.048 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",0.36,0.84,1.05,8.41,200,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274172,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.61913 S 162.937283 E,CAN28_16S,PAIRED,PCR,GENOMIC,Total: 0.64%,sediment metagenome,8.34,ILLUMINA,2020-10-09T00:00:00Z,Canada Glacier replicate 8,SIPRE core frozen,167.3 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,CAN28,SRP286940,< 0 C,32%
SRR12805342,AMPLICON,302,11901820,PRJNA668398,SAMN16408948,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6217376,UNIVERSITY OF COLORADO AT BOULDER,0.034 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",0.34,0.9,0.79,2,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274171,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T7_18S,PAIRED,PCR,GENOMIC,Total: 0.4%,sediment metagenome,7.66,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 6,SIPRE core frozen,136.4 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T7,SRP286940,< 0 C,24%
SRR12805343,AMPLICON,302,11196046,PRJNA668398,SAMN16408947,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5558285,UNIVERSITY OF COLORADO AT BOULDER,0.021 ug / g cryoconite,Dec-2017,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",0.28,0.17,0.17,0.99,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274170,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T6_18S,PAIRED,PCR,GENOMIC,Total: 0.34%,sediment metagenome,8.6,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 5,SIPRE core frozen,31 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T6,SRP286940,< 0 C,25%
SRR12805344,AMPLICON,302,11536098,PRJNA668398,SAMN16408946,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",5716717,UNIVERSITY OF COLORADO AT BOULDER,0.024 ug / g cryoconite,Dec-2017,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",0.25,0.2,0.2,1.09,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274169,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T5_18S,PAIRED,PCR,GENOMIC,Total: 0.4%,sediment metagenome,8.15,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 4,SIPRE core frozen,68.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T5,SRP286940,< 0 C,23%
SRR12805345,AMPLICON,302,12040438,PRJNA668398,SAMN16408945,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6098381,UNIVERSITY OF COLORADO AT BOULDER,0.113 ug / g cryoconite,Dec-2017,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",0.22,0.15,0.15,0.94,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274168,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T4_18S,PAIRED,PCR,GENOMIC,Total: 0.38%,sediment metagenome,8.29,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 3,SIPRE core frozen,8.1 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T4,SRP286940,< 0 C,26%
SRR12805346,AMPLICON,302,12673430,PRJNA668398,SAMN16408944,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",6336444,UNIVERSITY OF COLORADO AT BOULDER,0.041 ug / g cryoconite,Dec-2017,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NA,0.28,0.29,1.47,350,polar desert biome [ENVO:01000186],Glacier [ENVO:00000133],cryoconite hole [ENVO:03000039],SRX9274167,uncalculated,uncalculated,Antarctica: Taylor Valley,Illumina MiSeq,77.73033 S 162.05768 E,T2_18S,PAIRED,PCR,GENOMIC,Total: 0.37%,sediment metagenome,9.1,ILLUMINA,2020-10-09T00:00:00Z,Taylor Glacier replicate 2,SIPRE core frozen,56.6 g dry cryoconite,21 days,"Crary laboratory\, McMurdo Station\, Antarctica",-20 C,T2,SRP286940,< 0 C,23%
