"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"af716fbd4a01ed1c550d6956e0d2113f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"50a5c85e664d8741d932968de53ec29e","Bacteria",NA,NA,NA,NA,NA,NA
"0a2c2884ff50c4c63709c0ac24ce7cc7","Bacteria",NA,NA,NA,NA,NA,NA
"b8ef19bae44beb6b4724fed3be89767d","Bacteria",NA,NA,NA,NA,NA,NA
"d034234c9c4b6ddcbc37bd1334efb7bc","Bacteria",NA,NA,NA,NA,NA,NA
"2b220225a54e219c379181fe3fab36de","Bacteria",NA,NA,NA,NA,NA,NA
"54a55bfa9c4266c4065c6a79b1505427","Bacteria",NA,NA,NA,NA,NA,NA
"c14742016b9867469b0bf9b10657c7ec","Bacteria",NA,NA,NA,NA,NA,NA
"60324130b011c8f17481f9ca6aaee07d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"b058e2ef7620ac49c75da87f1eb309c0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"f7f4d132cf702baff3b984eec6fcb39d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"d558ecb034623eba025043abcad3228a","Bacteria",NA,NA,NA,NA,NA,NA
"60669989a467a429793feff32efe85ca","Bacteria",NA,NA,NA,NA,NA,NA
"222fb29b000d5ef563763871111a7931","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"83d3bb11ca8e318bdb00c5b780bdc384","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"62be82827d5ffd6d62cb18bd9ab67b70","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured bacterium","uncultured bacterium"
"418064eebc02ee64d045e87b21367eb7","Bacteria",NA,NA,NA,NA,NA,NA
"35781f740a3347cf3359443e570716d9","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f3e148eb6921c53f5a166af6f0c57514","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"9fe252732ecaa1b44c34bf9f4e6326ea","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","wastewater metagenome","wastewater metagenome","wastewater metagenome"
"67650721a6be5647e850475a45d78fe7","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"657eaadc2ad3519b6909adf5eee53a2e","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"b395968ac893a8aa403e4ca8b0d70be1","Bacteria",NA,NA,NA,NA,NA,NA
"14948224f9ace706e615ddcdd4136e7e","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"3ad7e9cf9c58c848ac8f34bad9cc36bd","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"56bc7ec1c4ad07c4bef5e5924b798be9","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"550f78d162da4a9b6ecefe9776c2793d","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"2ab07aa4e8a9d46f7ffa21309fdb0e1f","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"92ce30fa68c21d611aa0072644dc8cdf","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Candidatus Saccharibacteria bacterium","uncultured Candidatus Saccharibacteria bacterium","uncultured Candidatus Saccharibacteria bacterium"
"391d9011707666bdb8ca897e25102e1d","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"6d6af38722d01a4de6e930cb3310842e","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured organism","uncultured organism","uncultured organism"
"01225d2f778f3e7ac67803a6f26b44b5","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"feb9ecd6a1bb76989cde851a6118107e","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured Candidatus Saccharibacteria bacterium","uncultured Candidatus Saccharibacteria bacterium","uncultured Candidatus Saccharibacteria bacterium"
"5280331f720785321bcd6560ac49658f","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"c1b8a69c20a53e73957ea61d9f3c0643","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"15f989ce22e917eb730fd9e7e1c43713","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","bacterium LWQ8","bacterium LWQ8","bacterium LWQ8"
"08a1fcf69c9401d23d50729836f862a8","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","bacterium LWQ8","bacterium LWQ8","bacterium LWQ8"
