"","AveDegree","ClustCoef","AvePathLen","Density","Diameter","Modularity","Nodes","Edges"
"Total",57.5060120240481,0.411561959041402,4.39140988744406,0.0288250686837334,7.79941125856368,0.656580150127411,1996,57391
"Abundant",28.1556886227545,0.53818288623458,4.8530871891857,0.0845516174857492,9.7441678722977,0.47575843334198,334,4702
"Rare",2.62365591397849,0.333333333333333,4.10455104551045,0.0285179990649836,7.8099515011727,0.800283193588257,93,122
"Intermediate",42.2970044614404,0.381426805137092,4.92540531217661,0.0269751303963268,9.55363264858701,0.673323452472687,1569,33182
