Feature ID	Taxon	Confidence
1b35036bdd92d5a4466b8584cfa024ba	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae;D_5__Spirosoma;D_6__uncultured bacterium	0.8426215054565379
a47c3650850a963cd2b9deee9f7ea0fc	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Terrimonas;D_6__Terrimonas sp. T16R-129	0.9291429089394271
f124f777869e14203b2afc6ee6279a56	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Polaromonas	0.8356740137812778
d662d41c478094e4a8f701d57e0564d4	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Sediminibacterium	0.9999930162336182
da2afc0030d5ea94bf24861a7c1937c8	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Ferruginibacter	0.9999588123054782
e4320c84baca9867ccb0dfd9a5156b06	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Segetibacter	0.9119393895054024
53d41d00c5f362e270bd64b86850a618	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Chloroflexaceae;D_5__Candidatus Chloroploca;D_6__uncultured bacterium	0.9999862031020905
25cb02fb17426d878afd69a79572b858	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Polaromonas	0.9703241130400531
dfd0d5d0cd85ed96e2533d3473be87da	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Ferruginibacter	0.9988062965819458
39c47f3d76baee36a286c74330d36b6f	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae;D_5__Pseudonocardia	0.999849816584555
7b7595f9b76cf1c37a9b7943d54f75c2	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__Cryobacterium	0.8252074061750918
2629ac2b78514355aa0f84f2744fb028	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Pseudanabaenales;D_4__Pseudanabaenaceae;D_5__Pseudanabaena PCC-7429;D_6__uncultured bacterium	0.9948168702486084
250ffd863e2b6b03e402c166ddf9fad7	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Chroococcidiopsaceae;D_5__Crinalium SAG 22.89;D_6__uncultured bacterium	0.9182203950186612
b33be4c8504ad51cef6ba2de10577743	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__Roseococcus;D_6__uncultured bacterium	0.9420915892065505
6ace4e7664815b50cab6e2db8056b113	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast	1.000000000000004
29bd4c05b8703b972ca9abbcc2929822	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Xanthomonadales;D_4__Xanthomonadaceae;D_5__Lysobacter	0.7612187046655287
81cf26ae410f4dc2c3782b60aeda6bad	D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__RBG-13-54-9;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.8409349136730431
00f20d641a58e3c82c5756568ad89548	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Pseudanabaenales;D_4__Pseudanabaenaceae;D_5__Pseudanabaena PCC-7429;D_6__uncultured bacterium	0.9888467820933886
