"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.113",76543,0.963588784796215,0.955112463316372,"Genus","Rare",0.1
"0.1512",76543,0.963588784796215,0.955112463316372,"Genus","Rare",0.15
"0.213",69225,0.906155763740903,0.948202172612691,"Genus","Rare",0.2
"0.2512",64203,0.869463096243282,0.939982700473702,"Genus","Rare",0.25
"0.313",59403,0.833400345784247,0.921436685464117,"Genus","Rare",0.3
"0.3512",59403,0.833400345784247,0.921436685464117,"Genus","Rare",0.35
"0.413",51497,0.846618551726911,0.897934867734588,"Genus","Rare",0.4
"0.4512",48332,0.857672255505073,0.873728029645068,"Genus","Rare",0.45
"0.513",45189,0.835156071998177,0.925727251718519,"Genus","Rare",0.5
"0.5512",39215,0.874224330880678,0.922928008971669,"Genus","Rare",0.55
"0.613",34714,0.885853408465833,0.894248104198089,"Genus","Rare",0.6
"0.6512",30896,0.892689431952508,0.899467324842328,"Genus","Rare",0.65
"0.713",26290,0.878686953642213,0.915777879347707,"Genus","Rare",0.7
"0.7512",22493,0.875472026981902,0.923455876864178,"Genus","Rare",0.75
"0.813",17540,0.915275225014372,0.908426291591038,"Genus","Rare",0.8
"0.8512",13311,0.911250844159255,0.910523189051325,"Genus","Rare",0.85
"0.914",9102,0.897311273503729,0.917461025682925,"Genus","Rare",0.9
"0.9512",4459,0.85874782699037,0.921577070833598,"Genus","Rare",0.95
"0.9912",891,0.783143051212364,0.864518652239103,"Genus","Rare",0.99
"0.0113",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.01
"0.0513",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.05
"0.114",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.1
"0.1513",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.15
"0.214",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.2
"0.2513",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.25
"0.314",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.3
"0.3513",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.35
"0.414",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.4
"0.4513",47549,0.818905552651683,0.495283526669421,"Species","Rare",0.45
"0.514",39810,0.755575435915993,0.500221289944835,"Species","Rare",0.5
"0.5513",39810,0.755575435915993,0.500221289944835,"Species","Rare",0.55
"0.614",34058,0.749564419069063,0.522494255117452,"Species","Rare",0.6
"0.6513",29099,0.727507270850924,0.506799346681759,"Species","Rare",0.65
"0.714",25134,0.703687695173763,0.478883020712736,"Species","Rare",0.7
"0.7513",21381,0.753639296066718,0.522947527674337,"Species","Rare",0.75
"0.814",16134,0.726570946949769,0.499163683434429,"Species","Rare",0.8
"0.8513",12343,0.742119993668175,0.494225146077467,"Species","Rare",0.85
"0.915",9024,0.775081500064254,0.533562896793744,"Species","Rare",0.9
"0.9513",4385,0.76980001379831,0.560108141203117,"Species","Rare",0.95
"0.9913",885,0.670625183544039,0.516062769013095,"Species","Rare",0.99
"0.0114",86418,0.975206714280279,0.9999995689071,"Classified","Rare",0.01
"0.0514",86418,0.975206714280279,0.9999995689071,"Classified","Rare",0.05
"0.115",80420,0.976031945317362,0.999999480979668,"Classified","Rare",0.1
"0.1514",77627,0.975377798763577,0.999998106534422,"Classified","Rare",0.15
"0.215",72990,0.974638398954706,0.99999931822468,"Classified","Rare",0.2
"0.2514",66771,0.975081369884625,0.999999547318181,"Classified","Rare",0.25
"0.315",63256,0.965560530812231,0.999999592281139,"Classified","Rare",0.3
"0.3514",58612,0.964784986926704,0.999999081689408,"Classified","Rare",0.35
"0.415",54833,0.963955725715774,0.999999465294973,"Classified","Rare",0.4
"0.4514",49530,0.957103409393874,0.999999506644,"Classified","Rare",0.45
"0.515",45688,0.901363114506948,0.999999598339185,"Classified","Rare",0.5
"0.5514",40991,0.901793998139483,0.999999469666518,"Classified","Rare",0.55
"0.615",36486,0.902133992255781,0.999999411721576,"Classified","Rare",0.6
"0.6514",31901,0.894577935179151,0.999999515731618,"Classified","Rare",0.65
"0.715",27216,0.895814654596857,0.999999363892684,"Classified","Rare",0.7
"0.7514",22834,0.897549297184768,0.987409813355275,"Classified","Rare",0.75
"0.815",18210,0.918639132313856,0.97496563903858,"Classified","Rare",0.8
"0.8514",13657,0.912074703549353,0.963578923452142,"Classified","Rare",0.85
"0.916",9102,0.876314543379763,0.902007449078118,"Classified","Rare",0.9
"0.9514",4559,0.866716068854753,0.953333878903698,"Classified","Rare",0.95
"0.9914",914,NA,NA,"Classified","Rare",0.99
"0.0115",196714,0.997701407827533,0.999999786141555,"Total","Rare",0.01
"0.0515",196714,0.997701407827533,0.999999786141555,"Total","Rare",0.05
"0.116",184849,0.995025026034091,0.999999863261392,"Total","Rare",0.1
"0.1515",176218,0.982039329394504,0.999999717134806,"Total","Rare",0.15
"0.216",164547,0.982836799604857,0.999999807491675,"Total","Rare",0.2
"0.2515",155358,0.982632405979514,0.999999809111143,"Total","Rare",0.25
"0.316",145539,0.981226780965888,0.999999844477066,"Total","Rare",0.3
"0.3515",135027,0.981501539609791,0.999999637736443,"Total","Rare",0.35
"0.416",124090,0.94737238921388,0.999999782418114,"Total","Rare",0.4
"0.4515",113902,0.94632315681776,0.999998938049802,"Total","Rare",0.45
"0.516",104125,0.945276040784676,0.999996054030497,"Total","Rare",0.5
"0.5515",93347,0.938988318429214,0.985537104321895,"Total","Rare",0.55
"0.616",82988,0.941263492145899,0.983145715117051,"Total","Rare",0.6
"0.6515",72894,0.924919999331136,0.999999815741505,"Total","Rare",0.65
"0.716",62507,0.924265755277014,0.999999843057834,"Total","Rare",0.7
"0.7515",52112,0.920248418656259,0.999999756948623,"Total","Rare",0.75
"0.816",41727,0.915935819453603,0.982001473428709,"Total","Rare",0.8
"0.8515",31262,0.877956373914807,0.974939218067118,"Total","Rare",0.85
"0.917",20844,0.872091632771114,0.999999492842009,"Total","Rare",0.9
"0.9515",10409,0.839016898567202,0.947280127769498,"Total","Rare",0.95
"0.9915",2085,NA,NA,"Total","Rare",0.99
"0.01",90213,0.999158993741037,0.999637025744134,"Phylum","Dominant",0.99
"0.05",85354,0.995480010185892,0.997589539590189,"Phylum","Dominant",0.95
"0.1",79923,0.991569833675097,0.995029135511733,"Phylum","Dominant",0.9
"0.15",76335,0.97603299693083,0.991195819400532,"Phylum","Dominant",0.85
