"","Sum","corrcoeff","R Procrustes"
"0.01",73144,0.961343867690617,0.972909305765412
"0.05",73144,0.961343867690617,0.972909305765412
"0.1",73144,0.961343867690617,0.972909305765412
"0.15",73144,0.961343867690617,0.972909305765412
"0.2",73144,0.961343867690617,0.972909305765412
"0.25",56028,0.933543752429201,0.815571646241327
"0.3",56028,0.933543752429201,0.815571646241327
"0.35",56028,0.933543752429201,0.815571646241327
"0.4",40074,0.872740005092946,0.811052190450866
"0.45",40074,0.872740005092946,0.811052190450866
"0.5",40074,0.872740005092946,0.811052190450866
"0.55",40074,0.872740005092946,0.811052190450866
"0.6",28083,0.824785895219332,0.771026281445965
"0.65",28083,0.824785895219332,0.771026281445965
"0.7",18772,0.787155053408923,0.720762978072592
"0.75",18772,0.787155053408923,0.720762978072592
"0.8",15105,0.790003082572742,0.726259263213491
"0.85",11517,0.792090520418694,0.785417939299862
"0.9",8469,0.787353043422475,0.781949025510066
"0.95",3731,0.692577741193225,0.633107180212478
"0.99",774,NA,NA
