"","Sum","corrcoeff","R Procrustes"
"0.01",47549,0.818905552651683,0.495283526669421
"0.05",47549,0.818905552651683,0.495283526669421
"0.1",47549,0.818905552651683,0.495283526669421
"0.15",47549,0.818905552651683,0.495283526669421
"0.2",47549,0.818905552651683,0.495283526669421
"0.25",47549,0.818905552651683,0.495283526669421
"0.3",47549,0.818905552651683,0.495283526669421
"0.35",47549,0.818905552651683,0.495283526669421
"0.4",47549,0.818905552651683,0.495283526669421
"0.45",47549,0.818905552651683,0.495283526669421
"0.5",39810,0.755575435915993,0.500221289944835
"0.55",39810,0.755575435915993,0.500221289944835
"0.6",34058,0.749564419069063,0.522494255117452
"0.65",29099,0.727507270850924,0.506799346681759
"0.7",25134,0.703687695173763,0.478883020712736
"0.75",21381,0.753639296066718,0.522947527674337
"0.8",16134,0.726570946949769,0.499163683434429
"0.85",12343,0.742119993668175,0.494225146077467
"0.9",9024,0.775081500064254,0.533562896793744
"0.95",4385,0.76980001379831,0.560108141203117
"0.99",885,0.670625183544039,0.516062769013095
