"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.6511",105695,0.797905952979339,0.753684642369481,"Family","Rare",0.65
"0.712",92795,0.763609550868718,0.745241249123441,"Family","Rare",0.7
"0.7511",76687,0.735524855648482,0.736679449578923,"Family","Rare",0.75
"0.812",61033,0.722335099291678,0.728032273999038,"Family","Rare",0.8
"0.8511",47166,0.731992218984615,0.735552702255305,"Family","Rare",0.85
"0.913",31109,0.705977931843061,0.741813182561482,"Family","Rare",0.9
"0.9511",15167,0.686073278183455,0.780461115826833,"Family","Rare",0.95
"0.9911",3089,NA,NA,"Family","Rare",0.99
"0.0112",270769,0.922180303481811,0.907106244504501,"Genus","Rare",0.01
"0.0512",270769,0.922180303481811,0.907106244504501,"Genus","Rare",0.05
"0.113",270769,0.922180303481811,0.907106244504501,"Genus","Rare",0.1
"0.1512",245702,0.885617590756623,0.90098597941645,"Genus","Rare",0.15
"0.213",245702,0.885617590756623,0.90098597941645,"Genus","Rare",0.2
"0.2512",222871,0.822016911040655,0.861416689563291,"Genus","Rare",0.25
"0.313",205691,0.826210879691714,0.867432476674035,"Genus","Rare",0.3
"0.3512",191128,0.82622133104891,0.872597894434796,"Genus","Rare",0.35
"0.413",178272,0.827748481153173,0.867886865605219,"Genus","Rare",0.4
"0.4512",170271,0.819770744781383,0.857417807714198,"Genus","Rare",0.45
"0.513",155271,0.811493296114464,0.834673942059836,"Genus","Rare",0.5
"0.5512",135471,0.778270270953018,0.779366751532794,"Genus","Rare",0.55
"0.613",123327,0.790821150513161,0.834620927821505,"Genus","Rare",0.6
"0.6512",106503,0.765968404858121,0.83903174573286,"Genus","Rare",0.65
"0.713",92663,0.814792090493597,0.901769444083302,"Genus","Rare",0.7
"0.7512",77947,0.801454309274394,0.889523769228741,"Genus","Rare",0.75
"0.813",61579,0.811911080325254,0.880798570633078,"Genus","Rare",0.8
"0.8512",46605,0.815354252679616,0.891697132076687,"Genus","Rare",0.85
"0.914",31029,0.767872605567385,0.589608256622571,"Genus","Rare",0.9
"0.9512",15678,0.688310292506679,0.460878816897068,"Genus","Rare",0.95
"0.9912",3138,NA,NA,"Genus","Rare",0.99
"0.0113",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.01
"0.0513",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.05
"0.114",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.1
"0.1513",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.15
"0.214",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.2
"0.2513",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.25
"0.314",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.3
"0.3513",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.35
"0.414",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.4
"0.4513",171461,0.749273042106544,0.490000198113025,"Species","Rare",0.45
"0.514",149230,0.74505928494263,0.530315614723691,"Species","Rare",0.5
"0.5513",128987,0.649421454814697,0.628222891353487,"Species","Rare",0.55
"0.614",114565,0.633395068204206,0.73147451673561,"Species","Rare",0.6
"0.6513",104076,0.630788307808646,0.535318992103093,"Species","Rare",0.65
"0.714",87711,0.620826542108417,0.527471436794994,"Species","Rare",0.7
"0.7513",72400,0.589822194174933,0.540006856410274,"Species","Rare",0.75
"0.814",60949,0.555502147720569,0.516063283396916,"Species","Rare",0.8
"0.8513",45150,0.621208018783651,0.570257898477261,"Species","Rare",0.85
"0.915",30071,0.630718527029432,0.496586503233333,"Species","Rare",0.9
"0.9513",15595,NA,NA,"Species","Rare",0.95
"0.9913",3114,NA,NA,"Species","Rare",0.99
"0.0114",297497,0.961955054024857,0.976519134137825,"Classified","Rare",0.01
"0.0514",297497,0.961955054024857,0.976519134137825,"Classified","Rare",0.05
"0.115",280841,0.963019732277028,0.980659718723118,"Classified","Rare",0.1
"0.1514",261887,0.963263194862379,0.983450752876332,"Classified","Rare",0.15
"0.215",249383,0.964154995330721,0.982412951238801,"Classified","Rare",0.2
"0.2514",233342,0.956667768654143,0.893227774052096,"Classified","Rare",0.25
"0.315",219701,0.958913139630474,0.902373320937734,"Classified","Rare",0.3
"0.3514",204001,0.953989118901825,0.895427322455608,"Classified","Rare",0.35
"0.415",187330,0.95318823409813,0.896151302843715,"Classified","Rare",0.4
"0.4514",171304,0.944038999685076,0.923202076406681,"Classified","Rare",0.45
"0.515",156363,0.905603668786171,0.88026949236015,"Classified","Rare",0.5
"0.5514",141196,0.897646156657089,0.869244820348179,"Classified","Rare",0.55
"0.615",125005,0.891766566276864,0.906866290245203,"Classified","Rare",0.6
"0.6514",109776,0.884292794801408,0.866210599116814,"Classified","Rare",0.65
"0.715",93918,0.874594479955373,0.896501873660897,"Classified","Rare",0.7
"0.7514",78567,0.868860939474647,0.90185699837316,"Classified","Rare",0.75
"0.815",62734,0.8523240439498,0.64530244351905,"Classified","Rare",0.8
"0.8514",47072,0.81791318724431,0.678812413935938,"Classified","Rare",0.85
"0.916",31391,0.817209374236514,0.680005971933237,"Classified","Rare",0.9
"0.9514",15732,NA,NA,"Classified","Rare",0.95
"0.9914",3140,NA,NA,"Classified","Rare",0.99
"0.0115",629280,0.971305615150662,0.822841567950217,"Total","Rare",0.01
"0.0515",608664,0.969663681455738,0.909782046935418,"Total","Rare",0.05
"0.116",591484,0.958261978512917,0.970076762496985,"Total","Rare",0.1
"0.1515",550985,0.957277641887137,0.910330682136627,"Total","Rare",0.15
"0.216",524476,0.958279049233365,0.909213876294174,"Total","Rare",0.2
"0.2515",491446,0.955007520159209,0.932388261098945,"Total","Rare",0.25
"0.316",459285,0.955866817392326,0.969991527295991,"Total","Rare",0.3
"0.3515",429131,0.949298985359788,0.968615711599094,"Total","Rare",0.35
"0.416",394657,0.939278626724542,0.922861386536162,"Total","Rare",0.4
"0.4515",361875,0.937519795291684,0.918347340700071,"Total","Rare",0.45
"0.516",329736,0.932706766242081,0.911743814009228,"Total","Rare",0.5
"0.5515",296197,0.924677527945753,0.90723964345401,"Total","Rare",0.55
"0.616",263799,0.920662933236943,0.929389829970989,"Total","Rare",0.6
"0.6515",231150,0.916166519315277,0.902845601942955,"Total","Rare",0.65
"0.716",198037,0.899001223089958,0.916124132477535,"Total","Rare",0.7
"0.7515",164736,0.892046520568595,0.915019614570973,"Total","Rare",0.75
"0.816",132149,0.860352611327349,0.833752504933171,"Total","Rare",0.8
"0.8515",99075,0.848867956773028,0.837066722145287,"Total","Rare",0.85
"0.917",66062,0.850470547510882,0.684987848507674,"Total","Rare",0.9
"0.9515",33009,0.750782047015937,0.615703889463534,"Total","Rare",0.95
"0.9915",6603,NA,NA,"Total","Rare",0.99
"0.01",310451,0.998777610114607,0.999639727400945,"Phylum","Dominant",0.99
"0.05",291775,0.987921599135805,0.996625858651889,"Phylum","Dominant",0.95
"0.1",282446,0.978344336956262,0.994578749848518,"Phylum","Dominant",0.9
"0.15",260182,0.94430719911615,0.980016887407433,"Phylum","Dominant",0.85
"0.2",247448,0.925726170027634,0.969642385503697,"Phylum","Dominant",0.8
"0.25",229369,0.896542713040718,0.960908724895618,"Phylum","Dominant",0.75
"0.3",189801,0.842032506181538,0.896277784632395,"Phylum","Dominant",0.7
