Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 0.972909305765412 0.901639465661694 0.969374084356888 0.994551066111733 0.955112463316372 0.495283526669421 0.9999995689071 0.999999786141555
0.05 0.972909305765412 0.901639465661694 0.969374084356888 0.994551066111733 0.955112463316372 0.495283526669421 0.9999995689071 0.999999786141555
0.1 0.972909305765412 0.901639465661694 0.969311617058885 0.993168738139941 0.955112463316372 0.495283526669421 0.999999480979668 0.999999863261392
0.15 0.972909305765412 0.901639465661694 0.969311617058885 0.990447119313057 0.955112463316372 0.495283526669421 0.999998106534422 0.999999717134806
0.2 0.972909305765412 0.863306453577842 0.965298527676213 0.990447119313057 0.948202172612691 0.495283526669421 0.99999931822468 0.999999807491675
0.25 0.815571646241327 0.863306453577842 0.965298527676213 0.990128709742566 0.939982700473702 0.495283526669421 0.999999547318181 0.999999809111143
0.3 0.815571646241327 0.863306453577842 0.965371990119466 0.991287494911339 0.921436685464117 0.495283526669421 0.999999592281139 0.999999844477066
0.35 0.815571646241327 0.863306453577842 0.958914873813754 0.987575134608368 0.921436685464117 0.495283526669421 0.999999081689408 0.999999637736443
0.4 0.811052190450866 0.834108788625594 0.954206873504396 0.983854459132829 0.897934867734588 0.495283526669421 0.999999465294973 0.999999782418114
0.45 0.811052190450866 0.834108788625594 0.948412020347642 0.969634911570059 0.873728029645068 0.495283526669421 0.999999506644 0.999998938049802
0.5 0.811052190450866 0.834890435699912 0.935478264873063 0.97698081317639 0.925727251718519 0.500221289944835 0.999999598339185 0.999996054030497
0.55 0.811052190450866 0.834890435699912 0.935020341476222 0.946286579767637 0.922928008971669 0.500221289944835 0.999999469666518 0.985537104321895
0.6 0.771026281445965 0.863383201002166 0.911406083746042 0.953211099307841 0.894248104198089 0.522494255117452 0.999999411721576 0.983145715117051
0.65 0.771026281445965 0.857083267205699 0.904758758611591 0.968887113819839 0.899467324842328 0.506799346681759 0.999999515731618 0.999999815741505
0.7 0.720762978072592 0.861846651509753 0.910826612828897 0.977656960528698 0.915777879347707 0.478883020712736 0.999999363892684 0.999999843057834
0.75 0.720762978072592 0.848634390202799 0.885999273811836 0.977634100396456 0.923455876864178 0.522947527674337 0.987409813355275 0.999999756948623
0.8 0.726259263213491 0.841073967671198 0.902019382100469 0.975651894278121 0.908426291591038 0.499163683434429 0.97496563903858 0.982001473428709
0.85 0.785417939299862 0.802412825811518 0.923176458847126 0.945414047225009 0.910523189051325 0.494225146077467 0.963578923452142 0.974939218067118
0.9 0.781949025510066 0.819658275772715 0.918256117624633 0.951403111105886 0.917461025682925 0.533562896793744 0.902007449078118 0.999999492842009
0.95 0.633107180212478 0.866779393486326 0.714016979967802 0.859185440427237 0.921577070833598 0.560108141203117 0.953333878903698 0.947280127769498
0.99 NA NA 0.812857808523431 0.795421440051499 0.864518652239103 0.516062769013095 NA NA
