Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 0.961343867690617 0.953754707624677 0.972846554889899 0.978378432712798 0.963588784796215 0.818905552651683 0.975206714280279 0.997701407827533
0.05 0.961343867690617 0.953754707624677 0.972846554889899 0.978378432712798 0.963588784796215 0.818905552651683 0.975206714280279 0.997701407827533
0.1 0.961343867690617 0.953754707624677 0.94740862852318 0.973690911771407 0.963588784796215 0.818905552651683 0.976031945317362 0.995025026034091
0.15 0.961343867690617 0.953754707624677 0.94740862852318 0.964299116775897 0.963588784796215 0.818905552651683 0.975377798763577 0.982039329394504
0.2 0.961343867690617 0.869875222816399 0.925810515593797 0.964299116775897 0.906155763740903 0.818905552651683 0.974638398954706 0.982836799604857
0.25 0.933543752429201 0.869875222816399 0.925810515593797 0.96394060016351 0.869463096243282 0.818905552651683 0.975081369884625 0.982632405979514
0.3 0.933543752429201 0.869875222816399 0.909864902898959 0.950521356868106 0.833400345784247 0.818905552651683 0.965560530812231 0.981226780965888
0.35 0.933543752429201 0.869875222816399 0.899364051840832 0.940365619932183 0.833400345784247 0.818905552651683 0.964784986926704 0.981501539609791
0.4 0.872740005092946 0.838828354308231 0.887154383284414 0.913962714272312 0.846618551726911 0.818905552651683 0.963955725715774 0.94737238921388
0.45 0.872740005092946 0.838828354308231 0.8926192486564 0.90005428008524 0.857672255505073 0.818905552651683 0.957103409393874 0.94632315681776
0.5 0.872740005092946 0.832730221275113 0.880540254379264 0.902318381447234 0.835156071998177 0.755575435915993 0.901363114506948 0.945276040784676
0.55 0.872740005092946 0.832730221275113 0.91355393832174 0.895611354589683 0.874224330880678 0.755575435915993 0.901793998139483 0.938988318429214
0.6 0.824785895219332 0.827925428544624 0.891748086794526 0.896707008162117 0.885853408465833 0.749564419069063 0.902133992255781 0.941263492145899
0.65 0.824785895219332 0.831597710854677 0.882054735769906 0.908980338546902 0.892689431952508 0.727507270850924 0.894577935179151 0.924919999331136
0.7 0.787155053408923 0.825687212684117 0.871858791363435 0.886410545079276 0.878686953642213 0.703687695173763 0.895814654596857 0.924265755277014
0.75 0.787155053408923 0.824058220617054 0.870907214560465 0.905150576977202 0.875472026981902 0.753639296066718 0.897549297184768 0.920248418656259
0.8 0.790003082572742 0.802339412504378 0.856693873721738 0.905334861217214 0.915275225014372 0.726570946949769 0.918639132313856 0.915935819453603
0.85 0.792090520418694 0.770746286664448 0.865918137589964 0.874375108895233 0.911250844159255 0.742119993668175 0.912074703549353 0.877956373914807
0.9 0.787353043422475 0.776807942557759 0.854035870120009 0.843257877313605 0.897311273503729 0.775081500064254 0.876314543379763 0.872091632771114
0.95 0.692577741193225 0.775576959647739 0.793198297701234 0.841543054663799 0.85874782699037 0.76980001379831 0.866716068854753 0.839016898567202
0.99 NA NA 0.75400498851694 0.646934114334441 0.783143051212364 0.670625183544039 NA NA
