"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"183780e73d59d90d37fd51b327ed7e8f",6,45.7038818758313,0.000265111346765642,0
"995a69bf9c40ba0af7a70133a6bbb736",96,2999.08477672974,0.000299760191846523,0
"ce39dc544711b1a06a0eaeb76dacfa4b",1,0,0.000260213374967473,NA
"9e926cd50362b31502a5d328a8ed24d7",78,1637.13036521171,0.00029603315571344,0
"d0dad971506647d25b7ec3c857964526",1,0,0.000262260687123,NA
"9fde9971ce2276d0b46da55cd7aafa0a",1,0,0.000268384326355341,NA
"e0664ddae2a33c37f1024d28e5ec7128",19,3138.58517760959,0.0002710027100271,0
"15a987cb5704934a82dd41f66761f47f",6,174.111597617017,0.000280269058295964,0
"5f66e32f4a373fd9522e3987ce77c290",5,322.212207330952,0.000272776868521549,0
"7e9e02e1e6d645b6b02ea65d1fc1b4e7",77,3288.56839712082,0.000296208530805687,0
"a7b4f098724fcc91ece8ec27f0985049",84,2003.52569725338,0.000297441998810232,0
"3cd5528177788b43960cf1fbbac6c08c",2,0.602409868400851,0.000279329608938547,0
"08f8d83d9566e6477feaa25a1a3ca5e5",43,946.415409390498,0.000288517022504328,0
"2c2fa447568f6a2dce1cfa950437d7f5",74,1571.3750654548,0.000295159386068477,0
"e5785d16870445f9527d02d282b7e011",1,0,0.000261233019853709,NA
"2b1518fe0faccf2832ca45e2b0aef189",84,3409.76152906717,0.00029603315571344,0
"d1a174f0eed67233764c9dd8c0ee3d36",3,33.5327541470395,0.00026267402153927,0
"f0709f171b589606c85046e0d3d661c6",6,753.14910164314,0.000269034167339252,0
"e039fb223efec8cc9a3015fd7fae5cb4",53,984.852682399706,0.000291545189504373,0
"1b35036bdd92d5a4466b8584cfa024ba",47,815.395147915714,0.000287191269385411,0
"a47c3650850a963cd2b9deee9f7ea0fc",56,741.514165635681,0.00029120559114735,0
"f124f777869e14203b2afc6ee6279a56",12,1516.5387799264,0.000281531531531532,0
"d662d41c478094e4a8f701d57e0564d4",1,0,0.000256081946222791,NA
"e4320c84baca9867ccb0dfd9a5156b06",17,307.737775533128,0.000290782204129107,0
"25cb02fb17426d878afd69a79572b858",38,580.366989953515,0.000283687943262411,0
"dfd0d5d0cd85ed96e2533d3473be87da",13,144.923691709872,0.000285306704707561,0
"39c47f3d76baee36a286c74330d36b6f",24,3299.62656756612,0.000290191526407429,0
"7b7595f9b76cf1c37a9b7943d54f75c2",1,0,0.000262260687123,NA
"b33be4c8504ad51cef6ba2de10577743",39,346.606937779254,0.000285551113649343,0
"6ace4e7664815b50cab6e2db8056b113",11,120.578837362959,0.000288433804441881,0
"29bd4c05b8703b972ca9abbcc2929822",16,191.718781170082,0.000288018433179724,0
"00f20d641a58e3c82c5756568ad89548",12,958.272069951067,0.000277777777777778,0
"2d9a9d6012e671d8135cb2df734d9edd",12,26.9996942865774,0.000278318953520735,0
"c1be1572f5d0338f1cca9b274a8d54e6",2,0.851445501155433,0.000260824204486176,0
"bfe7795e52d043e68f31cc33f4023911",10,75.6369105944174,0.000280504908835905,0
"146195f72933e590d98b89c38d6eda33",7,6.40971372353001,0.000273448181569593,0
"c1dbed49b6ae7ebfe39e2d86023e7e0d",24,508.093786123428,0.000291545189504373,0
"98d23c5d4d9c8e08b1b0f5c3e10d3821",11,92.1894483933678,0.00028735632183908,0
"88f2d1164fbbde8282b9288408fba5ec",20,196.108639943015,0.00029086678301338,0
"cc2915b764b53d86be9c17337954ba02",7,585.133247508636,0.00025779840164991,0
"fa96cbd7b2df953f48e159b78c51527d",33,1933.36898818472,0.000283687943262411,0
"a1a46747a2d054385d4531d04d78eefa",80,3198.27024895874,0.000297973778307509,0
"612b259eb6294befb380ac4de0737a94",98,5473.68586019146,0.000301386377335744,0
"3b73aa488ac80fc7809f7b8d7eecf061",20,885.131450057493,0.00029086678301338,0
"79c9235ff041fe76f6dc89a18c5a222a",8,238.292151796732,0.00028328611898017,0
"1db22b035d3fb0858c969f8fedda264f",93,3307.30512177547,0.000299222022740874,0
"a679b90b860713e81fcb5971e697632e",1,0,0.000256739409499358,NA
"1e49a80064dfde5ad89169cb076745f0",5,746.027017102871,0.000268817204301075,0
"b33369fcff33a6052857b70e91a67677",2,7.11419568169335,0.000261164794985636,0
"ec20c4158ae8572e64663bf4bcfc3c11",5,12.0171481532628,0.000271665308340125,0
"59126c9d338650496b528ac9763fef32",2,10.826978414048,0.000263643553915107,0
"563dafa7ecbdaec2addabcff3bdce142",4,56.4339241859866,0.000271370420624152,0
"0b38f5929a79ed8f35a3e08113420bac",7,37.1187367333975,0.000277161862527716,0
"79aeef6159351463c3618c62dbfa39ac",4,20.633182717235,0.000268240343347639,0
"cc5d39ebedab1a2766ecbd43fb6f649c",8,132.748924288896,0.000283446712018141,0
"2d0a9d41eacab36b333910dcb46f06b9",3,6.65202175713993,0.000280583613916947,0
"88524108706087f7c75e79d6c10c9c61",7,33.8142817675046,0.00028184892897407,0
"3e1a26e59596ea4b27910d21a7f2685f",12,19.4918807678352,0.000275254610514726,0
"481fc9ce7a9c747284ab440354a2d549",19,2259.78840076105,0.000282485875706215,0
"c19d28067b371cfe432f864eeb6453db",7,217.939793867863,0.000285714285714286,0
"8df4bd0b9c72f4e5b7ed5a48ba8c1afc",5,113.090348574936,0.000264131008980454,0
"b4c1e218247b4ad7d670d7b305c43076",18,1474.11072663756,0.000292397660818713,0
"670629acef7bd7aca434bff7641f8a63",14,68.141950909457,0.000288350634371396,0
"b7d6cf3f7467ca45087ca083796a0af0",68,1403.22909855828,0.000293083235638921,0
"919f52074a986016c7e460883cbe1484",7,50.2513870293866,0.000284171639670361,0
"dc8abaafea08b7ee3d7275815bf96564",8,5.40124804706832,0.000272553829381303,0
"53f4fa5086ba14d2076e3f0a6345c832",9,53.8998091254702,0.000263435194942044,0
"d61f9f8affb2c0da3a68090d393a250b",2,2.10145416322483,0.000267737617135208,0
"cc4fa36d40bc7a4d412d0e7cb87ef853",1,0,0.000260281103591879,NA
"faef71610aa24b3d201ee1da2cce1099",30,1061.55042356012,0.000295072292711714,0
"f6de5d7d1c5b2e6920c6d5e57c0275fd",24,351.713929135209,0.000293341155764154,0
"1611a9b32995bb08d46cc8db72d1d5a0",2,1.07085756663343,0.00026048450117218,0
"1d555fb0f811f2b189b862d48c0c4e3d",17,86.5802884392385,0.000279251605696733,0
"856f38334acd06b4d1172931d5f9a619",7,161.962329881226,0.000280426247896803,0
"4ac1ba7968697c58abccec7fd5ff5ad4",10,20.1510346224448,0.000277700638711469,0
"ebfcee89238bfdd3d216f97a2804d805",8,302.883123158354,0.000277623542476402,0
"3c2b89ee1f14f41731c3f9bb8cd8b84c",13,100.482773060422,0.000285959393766085,0
"b60765bf2e10d524fe9872a961bc4c53",1,0,0.000243249817562637,NA
