"Site1" "Site2" "RCb"
"266" "109" "65" 2
"267" "109" "66" 2
"268" "109" "67" 2
"269" "109" "68" 2
"270" "109" "69" 2
"271" "109" "70" 2
"272" "109" "71" 2
"273" "109" "72" 2
"274" "109" "73" 2
"275" "109" "74" 2
"276" "109" "76" 2
"277" "109" "77" 2
"278" "109" "78" 2
"279" "109" "81" 2
"280" "109" "82" 2
"281" "109" "83" 2
"282" "109" "86" 2
"283" "109" "87" 2
"284" "109" "88" 2
"285" "109" "89" 2
"286" "109" "90" 2
"287" "109" "91" 2
"288" "109" "92" 2
"289" "109" "93" 2
"290" "109" "94" 2
"291" "109" "95" 2
"292" "109" "96" 2
"293" "109" "97" 2
"294" "109" "98" 2
"295" "109" "99" 2
"296" "110" "111" 2
"297" "110" "112" 2
"298" "110" "114" 2
"299" "110" "115" 2
"300" "110" "116" 2
"301" "110" "117" 2
"302" "110" "118" 2
"303" "110" "120" 2
"304" "110" "121" 2
"305" "110" "122" 2
"306" "110" "124" 2
"307" "110" "125" 2
"308" "110" "128" 2
"309" "110" "129" 2
"310" "110" "203" 2
"311" "110" "209" 2
"312" "110" "210" 2
"313" "110" "211" 2
"314" "110" "212" 2
"315" "110" "217" 2
"316" "110" "218" 2
"317" "110" "60" 2
"318" "110" "61" 2
"319" "110" "62" 2
"320" "110" "63" 2
"321" "110" "64" 2
"322" "110" "65" 2
"323" "110" "66" 2
"324" "110" "67" 2
"325" "110" "68" 2
"326" "110" "69" 2
"327" "110" "70" 2
"328" "110" "71" 2
"329" "110" "72" 2
"330" "110" "73" 2
"331" "110" "74" 2
"332" "110" "76" 2
"333" "110" "77" 2
"334" "110" "78" 2
"335" "110" "81" 2
"336" "110" "82" 2
"337" "110" "83" 2
"338" "110" "86" 2
"339" "110" "87" 2
"340" "110" "88" 2
"341" "110" "89" 2
"342" "110" "90" 2
"343" "110" "91" 2
"344" "110" "92" 2
"345" "110" "93" 2
"346" "110" "94" 2
"347" "110" "95" 2
"348" "110" "96" 2
"349" "110" "97" 2
"350" "110" "98" 2
"351" "110" "99" 2
"352" "111" "112" 2
"353" "111" "114" 2
"354" "111" "115" 2
"355" "111" "116" 2
"356" "111" "117" 2
"357" "111" "118" 2
"358" "111" "120" 2
"359" "111" "121" 2
"360" "111" "122" 2
"361" "111" "124" 2
"362" "111" "125" 2
"363" "111" "128" 2
"364" "111" "129" 2
"365" "111" "203" 2
"366" "111" "209" 2
"367" "111" "210" 2
"368" "111" "211" 2
"369" "111" "212" 2
"370" "111" "217" 2
"371" "111" "218" 2
"372" "111" "60" 2
"373" "111" "61" 2
"374" "111" "62" 2
"375" "111" "63" 2
"376" "111" "64" 2
"377" "111" "65" 2
"378" "111" "66" 2
"379" "111" "67" 2
"380" "111" "68" 2
"381" "111" "69" 2
"382" "111" "70" 2
"383" "111" "71" 2
"384" "111" "72" 2
"385" "111" "73" 2
"386" "111" "74" 2
"387" "111" "76" 2
"388" "111" "77" 2
"389" "111" "78" 2
"390" "111" "81" 2
"391" "111" "82" 2
"392" "111" "83" 2
"393" "111" "86" 2
"394" "111" "87" 2
"395" "111" "88" 2
"396" "111" "89" 2
"397" "111" "90" 2
"398" "111" "91" 2
"399" "111" "92" 2
"400" "111" "93" 2
"401" "111" "94" 2
"402" "111" "95" 2
"403" "111" "96" 2
"404" "111" "97" 2
"405" "111" "98" 2
"406" "111" "99" 2
"407" "112" "114" 2
"408" "112" "115" 2
"409" "112" "116" 2
"410" "112" "117" 2
"411" "112" "118" 2
"412" "112" "120" 2
"413" "112" "121" 2
"414" "112" "122" 2
"415" "112" "124" 2
"416" "112" "125" 2
"417" "112" "128" 2
"418" "112" "129" 2
"419" "112" "203" 2
"420" "112" "209" 2
"421" "112" "210" 2
"422" "112" "211" 2
"423" "112" "212" 2
"424" "112" "217" 2
"425" "112" "218" 2
"426" "112" "60" 2
"427" "112" "61" 2
"428" "112" "62" 2
"429" "112" "63" 2
"430" "112" "64" 2
"431" "112" "65" 2
"432" "112" "66" 2
"433" "112" "67" 2
"434" "112" "68" 2
"435" "112" "69" 2
"436" "112" "70" 2
"437" "112" "71" 2
"438" "112" "72" 2
"439" "112" "73" 2
"440" "112" "74" 2
"441" "112" "76" 2
"442" "112" "77" 2
"443" "112" "78" 2
"444" "112" "81" 2
"445" "112" "82" 2
"446" "112" "83" 2
"447" "112" "86" 2
"448" "112" "87" 2
"449" "112" "88" 2
"450" "112" "89" 2
"451" "112" "90" 2
"452" "112" "91" 2
"453" "112" "92" 2
"454" "112" "93" 2
"455" "112" "94" 2
"456" "112" "95" 2
"457" "112" "96" 2
"458" "112" "97" 2
"459" "112" "98" 2
"460" "112" "99" 2
"461" "114" "115" 2
"462" "114" "116" 2
"463" "114" "117" 2
"464" "114" "118" 2
"465" "114" "120" 2
"466" "114" "121" 2
"467" "114" "122" 2
"468" "114" "124" 2
"469" "114" "125" 2
"470" "114" "128" 2
"471" "114" "129" 2
"472" "114" "203" 2
"473" "114" "209" 2
"474" "114" "210" 2
"475" "114" "211" 2
"476" "114" "212" 2
"477" "114" "217" 2
"478" "114" "218" 2
"479" "114" "60" 2
"480" "114" "61" 2
"481" "114" "62" 2
"482" "114" "63" 2
"483" "114" "64" 2
"484" "114" "65" 2
"485" "114" "66" 2
"486" "114" "67" 2
"487" "114" "68" 2
"488" "114" "69" 2
"489" "114" "70" 2
"490" "114" "71" 2
"491" "114" "72" 2
"492" "114" "73" 2
"493" "114" "74" 2
"494" "114" "76" 2
"495" "114" "77" 2
"496" "114" "78" 2
"497" "114" "81" 2
"498" "114" "82" 2
"499" "114" "83" 2
"500" "114" "86" 2
"501" "114" "87" 2
"502" "114" "88" 2
"503" "114" "89" 2
"504" "114" "90" 2
"505" "114" "91" 2
"506" "114" "92" 2
"507" "114" "93" 2
"508" "114" "94" 2
"509" "114" "95" 2
"510" "114" "96" 2
"511" "114" "97" 2
"512" "114" "98" 2
"513" "114" "99" 2
"514" "115" "116" 2
"515" "115" "117" 2
"516" "115" "118" 2
"517" "115" "120" 2
"518" "115" "121" 2
"519" "115" "122" 2
"520" "115" "124" 2
"521" "115" "125" 2
"522" "115" "128" 2
"523" "115" "129" 2
"524" "115" "203" 2
"525" "115" "209" 2
"526" "115" "210" 2
"527" "115" "211" 2
"528" "115" "212" 2
"529" "115" "217" 2
"530" "115" "218" 2
"531" "115" "60" 2
"532" "115" "61" 2
"533" "115" "62" 2
"534" "115" "63" 2
"535" "115" "64" 2
"536" "115" "65" 2
"537" "115" "66" 2
"538" "115" "67" 2
"539" "115" "68" 2
"540" "115" "69" 2
"541" "115" "70" 2
"542" "115" "71" 2
"543" "115" "72" 2
"544" "115" "73" 2
"545" "115" "74" 2
"546" "115" "76" 2
"547" "115" "77" 2
"548" "115" "78" 2
"549" "115" "81" 2
"550" "115" "82" 2
"551" "115" "83" 2
"552" "115" "86" 2
"553" "115" "87" 2
"554" "115" "88" 2
"555" "115" "89" 2
"556" "115" "90" 2
"557" "115" "91" 2
"558" "115" "92" 2
"559" "115" "93" 2
"560" "115" "94" 2
"561" "115" "95" 2
"562" "115" "96" 2
"563" "115" "97" 2
"564" "115" "98" 2
"565" "115" "99" 2
"566" "116" "117" 2
"567" "116" "118" 2
"568" "116" "120" 2
"569" "116" "121" 2
"570" "116" "122" 2
"571" "116" "124" 2
"572" "116" "125" 2
"573" "116" "128" 2
"574" "116" "129" 2
"575" "116" "203" 2
"576" "116" "209" 2
"577" "116" "210" 2
"578" "116" "211" 2
"579" "116" "212" 2
"580" "116" "217" 2
"581" "116" "218" 2
"582" "116" "60" 2
"583" "116" "61" 2
"584" "116" "62" 2
"585" "116" "63" 2
"586" "116" "64" 2
"587" "116" "65" 2
"588" "116" "66" 2
"589" "116" "67" 2
"590" "116" "68" 2
"591" "116" "69" 2
"592" "116" "70" 2
"593" "116" "71" 2
"594" "116" "72" 2
"595" "116" "73" 2
"596" "116" "74" 2
"597" "116" "76" 2
"598" "116" "77" 2
"599" "116" "78" 2
"600" "116" "81" 2
"601" "116" "82" 2
"602" "116" "83" 2
"603" "116" "86" 2
"604" "116" "87" 2
"605" "116" "88" 2
"606" "116" "89" 2
"607" "116" "90" 2
"608" "116" "91" 2
"609" "116" "92" 2
"610" "116" "93" 2
"611" "116" "94" 2
"612" "116" "95" 2
"613" "116" "96" 2
"614" "116" "97" 2
"615" "116" "98" 2
"616" "116" "99" 2
"617" "117" "118" 2
"618" "117" "120" 2
"619" "117" "121" 2
"620" "117" "122" 2
"621" "117" "124" 2
"622" "117" "125" 2
"623" "117" "128" 2
"624" "117" "129" 2
"625" "117" "203" 2
"626" "117" "209" 2
"627" "117" "210" 2
"628" "117" "211" 2
"629" "117" "212" 2
"630" "117" "217" 2
"631" "117" "218" 2
"632" "117" "60" 2
"633" "117" "61" 2
"634" "117" "62" 2
"635" "117" "63" 2
"636" "117" "64" 2
"637" "117" "65" 2
"638" "117" "66" 2
"639" "117" "67" 2
"640" "117" "68" 2
"641" "117" "69" 2
"642" "117" "70" 2
"643" "117" "71" 2
"644" "117" "72" 2
"645" "117" "73" 2
"646" "117" "74" 2
"647" "117" "76" 2
"648" "117" "77" 2
"649" "117" "78" 2
"650" "117" "81" 2
"651" "117" "82" 2
"652" "117" "83" 2
"653" "117" "86" 2
"654" "117" "87" 2
"655" "117" "88" 2
"656" "117" "89" 2
"657" "117" "90" 2
"658" "117" "91" 2
"659" "117" "92" 2
"660" "117" "93" 2
"661" "117" "94" 2
"662" "117" "95" 2
"663" "117" "96" 2
"664" "117" "97" 2
"665" "117" "98" 2
"666" "117" "99" 2
"667" "118" "120" 2
"668" "118" "121" 2
"669" "118" "122" 2
"670" "118" "124" 2
"671" "118" "125" 2
"672" "118" "128" 2
"673" "118" "129" 2
"674" "118" "203" 2
"675" "118" "209" 2
"676" "118" "210" 2
"677" "118" "211" 2
"678" "118" "212" 2
"679" "118" "217" 2
"680" "118" "218" 2
"681" "118" "60" 2
"682" "118" "61" 2
"683" "118" "62" 2
"684" "118" "63" 2
"685" "118" "64" 2
"686" "118" "65" 2
"687" "118" "66" 2
"688" "118" "67" 2
"689" "118" "68" 2
"690" "118" "69" 2
"691" "118" "70" 2
"692" "118" "71" 2
"693" "118" "72" 2
"694" "118" "73" 2
"695" "118" "74" 2
"696" "118" "76" 2
"697" "118" "77" 2
"698" "118" "78" 2
"699" "118" "81" 2
"700" "118" "82" 2
"701" "118" "83" 2
"702" "118" "86" 2
"703" "118" "87" 2
"704" "118" "88" 2
"705" "118" "89" 2
"706" "118" "90" 2
"707" "118" "91" 2
"708" "118" "92" 2
"709" "118" "93" 2
"710" "118" "94" 2
"711" "118" "95" 2
"712" "118" "96" 2
"713" "118" "97" 2
"714" "118" "98" 2
"715" "118" "99" 2
"716" "120" "121" 2
"717" "120" "122" 2
"718" "120" "124" 2
"719" "120" "125" 2
"720" "120" "128" 2
"721" "120" "129" 2
"722" "120" "203" 2
"723" "120" "209" 2
"724" "120" "210" 2
"725" "120" "211" 2
"726" "120" "212" 2
"727" "120" "217" 2
"728" "120" "218" 2
"729" "120" "60" 2
"730" "120" "61" 2
"731" "120" "62" 2
"732" "120" "63" 2
"733" "120" "64" 2
"734" "120" "65" 2
"735" "120" "66" 2
"736" "120" "67" 2
"737" "120" "68" 2
"738" "120" "69" 2
"739" "120" "70" 2
"740" "120" "71" 2
"741" "120" "72" 2
"742" "120" "73" 2
"743" "120" "74" 2
"744" "120" "76" 2
"745" "120" "77" 2
"746" "120" "78" 2
"747" "120" "81" 2
"748" "120" "82" 2
"749" "120" "83" 2
"750" "120" "86" 2
"751" "120" "87" 2
"752" "120" "88" 2
"753" "120" "89" 2
"754" "120" "90" 2
"755" "120" "91" 2
"756" "120" "92" 2
"757" "120" "93" 2
"758" "120" "94" 2
"759" "120" "95" 2
"760" "120" "96" 2
"761" "120" "97" 2
"762" "120" "98" 2
"763" "120" "99" 2
"764" "121" "122" 2
"765" "121" "124" 2
"766" "121" "125" 2
"767" "121" "128" 2
"768" "121" "129" 2
"769" "121" "203" 2
"770" "121" "209" 2
"771" "121" "210" 2
"772" "121" "211" 2
"773" "121" "212" 2
"774" "121" "217" 2
"775" "121" "218" 2
"776" "121" "60" 2
"777" "121" "61" 2
"778" "121" "62" 2
"779" "121" "63" 2
"780" "121" "64" 2
"781" "121" "65" 2
"782" "121" "66" 2
"783" "121" "67" 2
"784" "121" "68" 2
"785" "121" "69" 2
"786" "121" "70" 2
"787" "121" "71" 2
"788" "121" "72" 2
"789" "121" "73" 2
"790" "121" "74" 2
"791" "121" "76" 2
"792" "121" "77" 2
"793" "121" "78" 2
"794" "121" "81" 2
"795" "121" "82" 2
"796" "121" "83" 2
"797" "121" "86" 2
"798" "121" "87" 2
"799" "121" "88" 2
"800" "121" "89" 2
"801" "121" "90" 2
"802" "121" "91" 2
"803" "121" "92" 2
"804" "121" "93" 2
"805" "121" "94" 2
"806" "121" "95" 2
"807" "121" "96" 2
"808" "121" "97" 2
"809" "121" "98" 2
"810" "121" "99" 2
"811" "122" "124" 2
"812" "122" "125" 2
"813" "122" "128" 2
