"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"1" 101 100 0.428777373378788 0.843104234975485 0.331020774681992 -1.25166422559048 "Taylor" "Taylor" "Taylor"
"2" 76 100 0.582358699162714 0.622489784326257 0.193200979724913 -0.207716778769357 "Taylor" "Taylor" "Taylor"
"3" 77 100 0.564232776893939 1.1277236716653 0.457908562594509 -1.23057514272855 "Taylor" "Taylor" "Taylor"
"4" 96 100 0.427727832125 0.580599310846353 0.153568790418061 -0.995459287692439 "Taylor" "Taylor" "Taylor"
"5" 97 100 0.361569266437229 0.594839264113857 0.169783748181472 -1.37392418399963 "Taylor" "Taylor" "Taylor"
"6" 99 100 0.372687170976789 0.5423711471669 0.13141423421282 -1.29121458726697 "Taylor" "Taylor" "Taylor"
"7" 76 101 0.719220754586957 0.92438572125779 0.417384831898798 -0.491548688383048 "Taylor" "Taylor" "Taylor"
"8" 77 101 0.622190381333333 1.39206810118117 0.772840443000857 -0.9961664491295 "Taylor" "Taylor" "Taylor"
"9" 96 101 0.40289491940625 0.849607691087635 0.342383288127004 -1.30471546705773 "Taylor" "Taylor" "Taylor"
"10" 97 101 0.494362828869048 0.87838924309372 0.372807864772122 -1.03009204073366 "Taylor" "Taylor" "Taylor"
"11" 99 101 0.493395275315603 0.831837305230879 0.324209427783991 -1.04389940856615 "Taylor" "Taylor" "Taylor"
"12" 72 107 1.093660230475 0.541559516957933 0.138944889268207 3.97352300199643 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"13" 73 107 0.784899215825 1.04653989871608 0.37685757789146 -0.694269395762108 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"14" 74 107 1.02787640361071 0.594108294134179 0.191109530289405 2.26973562657845 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"15" 110 109 0.758897400648148 1.10529479993517 0.478026572603616 -0.724640467998113 "Lower Wright" "Lower Wright" "Lower Wright"
"16" 112 109 0.655851674 1.605254432386 1.03034838199145 -0.921438588131714 "Lower Wright" "Lower Wright" "Lower Wright"
"17" 125 109 0.63684365825 1.38348326176325 0.800906477013324 -0.932243183121153 "Lower Wright" "Lower Wright" "Lower Wright"
"18" 112 110 0.310228766833333 1.09597536512928 0.437269561064721 -1.79693870385742 "Lower Wright" "Lower Wright" "Lower Wright"
"19" 125 110 0.323442204694444 0.857699846420833 0.352591830124857 -1.5152297815216 "Lower Wright" "Lower Wright" "Lower Wright"
"20" 114 111 0.25202073782033 0.421070827159498 0.073641660146582 -2.29557683792949 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"21" 115 111 0.231405737791909 0.440500121796138 0.0787526524786555 -2.65507735197746 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"22" 116 111 0.322438523217259 0.437704052862903 0.0783723238265509 -1.47074278288268 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"23" 117 111 0.601437624961539 0.57574733237267 0.173260730098405 0.148275333794782 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"24" 118 111 0.465893025192308 0.49276532807898 0.103896759638393 -0.258644282845776 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"25" 217 111 0.0892292593559506 0.434525923708031 0.0819735754102288 -4.21229234694323 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"26" 218 111 0.170437856259615 0.524264435717902 0.134507284656994 -2.6305384155258 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"27" 125 112 0.15369022475 1.41129077682075 0.787626301116708 -1.5966969999449 "Lower Wright" "Lower Wright" "Lower Wright"
"28" 115 114 0.201866996313544 0.38439655424463 0.0590534039621129 -3.0909235655271 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"29" 116 114 0.27838067809566 0.382922372009006 0.0597446438611875 -1.74980863818087 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"30" 117 114 0.526868095170238 0.521099733320692 0.149275401839879 0.0386424138099718 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"31" 118 114 0.330438092575 0.43665918364358 0.0829054707793059 -1.28123138401011 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"32" 217 114 0.219372295481806 0.38147788545903 0.0569078485919879 -2.8485629660589 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"33" 218 114 0.240218425799286 0.473082783486326 0.113989988883977 -2.04284920076673 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"34" 116 115 0.284633168488536 0.399574493311733 0.062459216503065 -1.84026203430773 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"35" 117 115 0.592820957976415 0.53954347223098 0.159947678136782 0.333093211267964 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"36" 118 115 0.363642836320755 0.454895512061256 0.0885016652456361 -1.03108427945655 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"37" 217 115 0.144823635391509 0.396905644311524 0.0611606945920958 -4.12163417373275 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"38" 218 115 0.219113425751132 0.488235624101485 0.121322854083147 -2.2182316793002 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"39" 117 116 0.45110706064135 0.535643980528923 0.154803795799788 -0.546090743129493 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
