"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"1" "101" "100" 0.069996445725553 0.368587144848543 0.21559606738525 -1.38495429320349
"2" "104" "100" 0.263275156468107 0.323454140486323 0.164014318031785 -0.366912991136262
"3" "107" "100" 0.235889169931758 0.256333007847408 0.0997266412653361 -0.20499876117613
"4" "109" "100" 0.239701315564985 0.333598108460381 0.17838505869179 -0.526371398950113
"5" "110" "100" 0.0770986957361419 0.334601789799205 0.166205494699825 -1.54930554208287
"6" "111" "100" 0.267489525659597 0.330578479412875 0.172655086390116 -0.365404547716181
"7" "112" "100" 0.103567896847498 0.331514301660936 0.170675974651762 -1.33555062614131
"8" "114" "100" 0.322428606965687 0.312760974193206 0.166383045737971 0.0581046748459322
"9" "115" "100" 0.289875260475821 0.371567261605692 0.199201870608725 -0.410096556223267
"10" "116" "100" 0.304711320899757 0.354718590742935 0.214681171352671 -0.232937381178287
"11" "117" "100" 0.302240540130921 0.349609489396846 0.2014577987861 -0.235130878781314
"12" "118" "100" 0.36190754593551 0.381205359868455 0.234758053149616 -0.0822029901595977
"13" "120" "100" 0.250232789020997 0.323016126815865 0.147982605397212 -0.491837115581961
"14" "121" "100" 0.290716249298612 0.329949563465922 0.165898710894548 -0.236489566168165
"15" "122" "100" 0.453776060588117 0.324180779614487 0.150385857039713 0.861751786535399
"16" "124" "100" 0.180994658845936 0.32729903476121 0.153165135269685 -0.955206781606457
"17" "125" "100" 0.2938072384995 0.356757538432702 0.1943262949201 -0.323941234813769
"18" "128" "100" 0.352225458042645 0.343929727126699 0.176441561995055 0.0470168752880296
"19" "129" "100" 0.381322211873851 0.329907843632865 0.178801491578313 0.287549996295568
"20" "203" "100" 0.333188472557307 0.331878401431722 0.208545268892906 0.00628195083273446
"21" "209" "100" 0.369330452819627 0.319094739930033 0.159389493598253 0.315175810873802
"22" "210" "100" 0.401354751705141 0.372717119629435 0.219031425678943 0.130746681609437
"23" "211" "100" 0.29780337216997 0.299876269745659 0.151521026837495 -0.0136805935054268
"24" "212" "100" 0.362511940024301 0.283494158007048 0.129347234915907 0.610896568980577
"25" "217" "100" 0.504033866862552 0.373984606115839 0.215424216511329 0.603689143462073
"26" "218" "100" 0.209607529402631 0.340605365479791 0.183204476482541 -0.715036218504428
"27" "60" "100" 2.31342550819326 0.336137156458441 0.171128245927154 11.5544242332532
"28" "61" "100" 0.345593420376709 0.3393526679168 0.16148309243715 0.0386464760224885
"29" "62" "100" 1.23198604956786 0.291146539164863 0.152421961298613 6.1725981111067
"30" "63" "100" 0.384284101378527 0.328930169061005 0.180032584231381 0.307466187600679
"31" "64" "100" 2.26844612636033 0.274989324905214 0.123092444886003 16.1947941102419
"32" "65" "100" 0.68631435241696 0.265695903050376 0.114992803506092 3.65778063097923
"33" "66" "100" 0.643737898712807 0.252693507074561 0.106678880158699 3.66562145249852
"34" "67" "100" 0.513878789577881 0.265249723381413 0.115337434282128 2.15566669870855
"35" "68" "100" 0.517233199973505 0.256016448523563 0.112855440361832 2.3146137271933
"36" "69" "100" 1.19503927857051 0.266603017588332 0.124905914805776 7.43308483369947
"37" "70" "100" 0.805483108820207 0.248647983466911 0.100352688173675 5.54878135790057
"38" "71" "100" 0.291918545427659 0.275520805333014 0.12282759684449 0.133502083537513
"39" "72" "100" 0.224359399622085 0.257804372954805 0.105044476889465 -0.318388689468298
"40" "73" "100" 0.236200277621747 0.251757548618879 0.0980816721787915 -0.158615474752241
"41" "74" "100" 0.209371224081062 0.26217435528684 0.109552878323775 -0.481987621080323
"42" "76" "100" 0.241254411453759 0.330649009609724 0.163108098461457 -0.548069648283524
"43" "77" "100" 0.308824038299999 0.340094125275302 0.200019626626153 -0.156335093224364
"44" "78" "100" 0.247501486325074 0.327589218831849 0.157285052579896 -0.50918845238706
"45" "81" "100" 0.345825860725017 0.341729697292107 0.168688642171212 0.0242823902082993
"46" "82" "100" 0.332268489891739 0.330552556198923 0.153632378846789 0.0111690888710867
"47" "83" "100" 0.285036370291076 0.339385366978694 0.1711388194743 -0.317572581455017
"48" "86" "100" 0.231451698306861 0.271706608197605 0.120748212507222 -0.333378930046989
