"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"45" 118 117 0.270558439020705 0.363689736570036 0.237698056539434 -0.391805044202711 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"46" 217 117 0.304583398070275 0.359101626972005 0.221576308724542 -0.24604719347277 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"47" 218 117 0.242033785234423 0.322484805726062 0.183008927696176 -0.439601616732058 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"48" 217 118 0.0639248315146313 0.393493282566096 0.253897675779358 -1.29803650246041 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"49" 218 118 0.0722444107207273 0.360774908197922 0.225581449295461 -1.27905241489642 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"50" 121 120 0.202402147827008 0.292768272123242 0.121848128459143 -0.74162915293799 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"51" 122 120 0.291014682793225 0.286893469943304 0.108927764459448 0.0378343654657 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"52" 124 120 0.28956693884849 0.298237720530787 0.118757177256818 -0.0730126960120187 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"53" 122 121 0.235447941435031 0.293481838452301 0.125182399026967 -0.463594702357221 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"54" 124 121 0.18767336378102 0.30098111980919 0.139974657318208 -0.809487647257355 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"55" 124 122 0.249047909762865 0.292699706457354 0.122991082757191 -0.354918386893678 "Lower Koettlitz" "Lower Koettlitz" "Lower Koettlitz"
"56" 129 128 0.0369524611101227 0.31653872330159 0.166105009242063 -1.68318982953747 "Miers" "Miers" "Miers"
"57" 209 128 0.0469069955907015 0.3089944755004 0.152025176022134 -1.72397419142958 "Miers" "Miers" "Miers"
"58" 210 128 0.0504484070140092 0.353533791205763 0.196658298412756 -1.54117770080377 "Miers" "Miers" "Miers"
"59" 209 129 0.00298327972647809 0.296455625545423 0.157495764243588 -1.86336659419647 "Miers" "Miers" "Miers"
"60" 210 129 0.0223390506588702 0.353372669229098 0.207896589634093 -1.59229941747896 "Miers" "Miers" "Miers"
"61" 210 209 0.031957031402161 0.344408893474263 0.188525214194728 -1.65734786939093 "Miers" "Miers" "Miers"
"62" 212 211 0.0227923518120715 0.219179675391196 0.0983033340816081 -1.99776869639122 "Core" "Core" "Core"
"63" 218 217 0.0747704697969795 0.353301826988503 0.206080284273745 -1.3515672213531 "Upper Koettlitz" "Upper Koettlitz" "Upper Koettlitz"
"64" 61 60 2.10319518571667 0.314133455933686 0.147070727813011 12.1646350459191 "Canada" "Canada" "Canada"
"65" 62 60 0.343876744895034 0.0834258548569505 0.051257660100401 5.0812091212889 "Canada" "Canada" "Canada"
